Municipio,Categoria,Tipo,Valor,Year,Isla
ALCÚDIA,HA 5*,ESTABL.,1,23,Mallorca
ALCÚDIA,HA 5*,PLACES,706,23,Mallorca
ALCÚDIA,HO,ESTABL.,1,23,Mallorca
ALCÚDIA,HO,PLACES,22,23,Mallorca
ALCÚDIA,HR 5*,ESTABL.,NA,23,Mallorca
ALCÚDIA,HR 5*,PLACES,NA,23,Mallorca
ALCÚDIA,HR,ESTABL.,NA,23,Mallorca
ALCÚDIA,HR,PLACES,NA,23,Mallorca
ALCÚDIA,HS 1*,ESTABL.,2,23,Mallorca
ALCÚDIA,HS 1*,PLACES,76,23,Mallorca
ALCÚDIA,HS 2*,ESTABL.,NA,23,Mallorca
ALCÚDIA,HS 2*,PLACES,NA,23,Mallorca
ALCÚDIA,HS 3*,ESTABL.,NA,23,Mallorca
ALCÚDIA,HS 3*,PLACES,NA,23,Mallorca
ALCÚDIA,HSR 1*,ESTABL.,1,23,Mallorca
ALCÚDIA,HSR 1*,PLACES,55,23,Mallorca
ALCÚDIA,HSR 2*,ESTABL.,1,23,Mallorca
ALCÚDIA,HSR 2*,PLACES,39,23,Mallorca
ALCÚDIA,HSR 3*,ESTABL.,NA,23,Mallorca
ALCÚDIA,HSR 3*,PLACES,NA,23,Mallorca
ALCÚDIA,PENS 2*,ESTABL.,NA,23,Mallorca
ALCÚDIA,PENS 2*,PLACES,NA,23,Mallorca
ALCÚDIA,TI,ESTABL.,10,23,Mallorca
ALCÚDIA,TI,PLACES,139,23,Mallorca
ALCÚDIA,TOTAL,ESTABL.,94,23,Mallorca
ALCÚDIA,TOTAL,PLACES,27999,23,Mallorca
ALGAIDA,A 1 Ll,ESTABL.,NA,23,Mallorca
ALGAIDA,A 1 Ll,PLACES,NA,23,Mallorca
ALGAIDA,A 2 Ll,ESTABL.,NA,23,Mallorca
ALGAIDA,A 2 Ll,PLACES,NA,23,Mallorca
ALGAIDA,A 3 Ll,ESTABL.,NA,23,Mallorca
ALGAIDA,A 3 Ll,PLACES,NA,23,Mallorca
ALGAIDA,A 3 Ll SUP,ESTABL.,NA,23,Mallorca
ALGAIDA,A 3 Ll SUP,PLACES,NA,23,Mallorca
ALGAIDA,A 4 Ll,ESTABL.,NA,23,Mallorca
ALGAIDA,A 4 Ll,PLACES,NA,23,Mallorca
ALGAIDA,A 4 Ll SUP,ESTABL.,NA,23,Mallorca
ALGAIDA,A 4 Ll SUP,PLACES,NA,23,Mallorca
ALGAIDA,AG,ESTABL.,3,23,Mallorca
ALGAIDA,AG,PLACES,44,23,Mallorca
ALGAIDA,CH,ESTABL.,NA,23,Mallorca
ALGAIDA,CH,PLACES,NA,23,Mallorca
ALGAIDA,CT,ESTABL.,NA,23,Mallorca
ALGAIDA,CT,PLACES,NA,23,Mallorca
ALGAIDA,F,ESTABL.,NA,23,Mallorca
ALGAIDA,F,PLACES,NA,23,Mallorca
ALGAIDA,H 1*,ESTABL.,NA,23,Mallorca
ALGAIDA,H 1*,PLACES,NA,23,Mallorca
ALGAIDA,H 2*,ESTABL.,NA,23,Mallorca
ALGAIDA,H 2*,PLACES,NA,23,Mallorca
ALGAIDA,H 3*,ESTABL.,NA,23,Mallorca
ALGAIDA,H 3*,PLACES,NA,23,Mallorca
ALGAIDA,H 3*SUP,ESTABL.,NA,23,Mallorca
ALGAIDA,H 3*SUP,PLACES,NA,23,Mallorca
ALGAIDA,H 4*,ESTABL.,1,23,Mallorca
ALGAIDA,H 4*,PLACES,50,23,Mallorca
ALGAIDA,H 4* SUP,ESTABL.,NA,23,Mallorca
ALGAIDA,H 4* SUP,PLACES,NA,23,Mallorca
ALGAIDA,H 5*,ESTABL.,NA,23,Mallorca
ALGAIDA,H 5*,PLACES,NA,23,Mallorca
ALGAIDA,H 5* G.L.,ESTABL.,NA,23,Mallorca
ALGAIDA,H 5* G.L.,PLACES,NA,23,Mallorca
ALGAIDA,HA 1*,ESTABL.,NA,23,Mallorca
ALGAIDA,HA 1*,PLACES,NA,23,Mallorca
