Comunidad;ConsumoEuros;Anio;CCAA
ANDALUC?A;10892242,1;2016;01
COMUNIDAD DE MADRID;8898950,02;2016;13
CASTILLA - LA MANCHA;2778416,03;2016;08
EXTREMADURA;1423954,45;2016;11
CASTILLA Y LE?N;3816681,86;2016;07
GALICIA;4353832,09;2016;12
PRINCIPADO DE ASTURIAS;1759697,35;2016;03
CANTABRIA;837127,41;2016;06
PAIS VASCO;3572900,34;2016;16
LA RIOJA;429507,87;2016;17
C FORAL DE NAVARRA;941046,57;2016;15
CANARIAS;3006139,25;2016;05
CATALU?A;11952850,74;2017;09
ARAG?N;2048985,87;2017;02
ILLES BALEARS;1635564,24;2017;04
COMUNITAT VALENCIANA;6925450,07;2017;10
REGI?N DE MURCIA;1997893,7;2017;14
ANDALUC?A;11207511,89;2017;01
COMUNIDAD DE MADRID;8947517,29;2017;13
CASTILLA - LA MANCHA;2768395,6;2017;08
EXTREMADURA;1355998,29;2017;11
CASTILLA Y LE?N;3810671,19;2017;07
GALICIA;4402167,6;2017;12
PRINCIPADO DE ASTURIAS;1692718,83;2017;03
CANTABRIA;874674,64;2017;06
PAIS VASCO;3575971,23;2017;16
LA RIOJA;402409,41;2017;17
C FORAL DE NAVARRA;957107,18;2017;15
CANARIAS;2934892,3;2017;05
CATALU?A;12086216,46;2018;09
ARAG?N;2045421,96;2018;02
ILLES BALEARS;1666174,84;2018;04
COMUNITAT VALENCIANA;7045960,24;2018;10
REGI?N DE MURCIA;2026808,33;2018;14
ANDALUC?A;11555510,02;2018;01
COMUNIDAD DE MADRID;9261427,37;2018;13
CASTILLA - LA MANCHA;2841967,73;2018;08
EXTREMADURA;1402799,81;2018;11
CASTILLA Y LE?N;3710322,23;2018;07
GALICIA;4498459,39;2018;12
PRINCIPADO DE ASTURIAS;1688295,47;2018;03
CANTABRIA;849868,54;2018;06
PAIS VASCO;3614476,24;2018;16
LA RIOJA;418957,83;2018;17
C FORAL DE NAVARRA;883327,02;2018;15
CANARIAS;2942094,54;2018;05
CATALU?A;12542058,3;2019;09
ARAG?N;2011978,57;2019;02
ILLES BALEARS;1801109,05;2019;04
COMUNITAT VALENCIANA;7162241,03;2019;10
REGI?N DE MURCIA;1971765,83;2019;14
ANDALUC?A;11435581,48;2019;01
COMUNIDAD DE MADRID;9458425,36;2019;13
CASTILLA - LA MANCHA;2802768,44;2019;08
EXTREMADURA;1456336,75;2019;11
CASTILLA Y LE?N;3772032,79;2019;07
GALICIA;4435240,76;2019;12
PRINCIPADO DE ASTURIAS;1705765,98;2019;03
CANTABRIA;864618,62;2019;06
PAIS VASCO;3650008,96;2019;16
LA RIOJA;448146,76;2019;17
C FORAL DE NAVARRA;960675,18;2019;15
CANARIAS;3024377,06;2019;05
CATALU?A;14194336,58;2020;09
ARAG?N;2343943,33;2020;02
ILLES BALEARS;2079831,3;2020;04
COMUNITAT VALENCIANA;8072971,83;2020;10
REGI?N DE MURCIA;2277991,26;2020;14
ANDALUC?A;13097601,82;2020;01
COMUNIDAD DE MADRID;10989709,59;2020;13
CASTILLA - LA MANCHA;3189510,85;2020;08
EXTREMADURA;1592526,22;2020;11
CASTILLA Y LE?N;4192015,09;2020;07
GALICIA;4890843,86;2020;12
PRINCIPADO DE ASTURIAS;2006396,35;2020;03
CANTABRIA;937286,91;2020;06
PAIS VASCO;4257823,39;2020;16
LA RIOJA;521999,27;2020;17
C FORAL DE NAVARRA;1147527,59;2020;15
CANARIAS;3555940,85;2020;05
CATALU?A;13201752,68;2021;09
ARAG?N;2224316,73;2021;02
ILLES BALEARS;1960488,18;2021;04
COMUNITAT VALENCIANA;7717932,76;2021;10
REGI?N DE MURCIA;2223492,83;2021;14
ANDALUC?A;12212747,71;2021;01
COMUNIDAD DE MADRID;9982844,65;2021;13
CASTILLA - LA MANCHA;3032511,53;2021;08
EXTREMADURA;1504873,66;2021;11
CASTILLA Y LE?N;4008166,89;2021;07
GALICIA;4577161,51;2021;12
PRINCIPADO DE ASTURIAS;1883026,12;2021;03
CANTABRIA;892214,6;2021;06
PAIS VASCO;4150940,87;2021;16
LA RIOJA;488640,46;2021;17
C FORAL DE NAVARRA;1064580;2021;15
CANARIAS;3417914,5;2021;05
CATALU?A;13234485,47;2022;09
ARAG?N;2069858,89;2022;02
ILLES BALEARS;1836654,94;2022;04
COMUNITAT VALENCIANA;7737480,66;2022;10
REGI?N DE MURCIA;2255969,92;2022;14
ANDALUC?A;12214526,97;2022;01
COMUNIDAD DE MADRID;10066888,39;2022;13
CASTILLA - LA MANCHA;3051634,94;2022;08
EXTREMADURA;1472672,89;2022;11
CASTILLA Y LE?N;4067235,84;2022;07
GALICIA;4540811,38;2022;12
PRINCIPADO DE ASTURIAS;1854875,3;2022;03
CANTABRIA;847783,36;2022;06
PAIS VASCO;4039806,78;2022;16
LA RIOJA;477097,23;2022;17
C FORAL DE NAVARRA;1048296,12;2022;15
CANARIAS;3077318,22;2022;05
CATALU?A;14439535,67;2023;09
ARAG?N;2232873,32;2023;02
ILLES BALEARS;2001089,11;2023;04
COMUNITAT VALENCIANA;8610678,91;2023;10
REGI?N DE MURCIA;2522823,34;2023;14
ANDALUC?A;13403878,82;2023;01
COMUNIDAD DE MADRID;10999114,1;2023;13
CASTILLA - LA MANCHA;3365700,04;2023;08
EXTREMADURA;1622760,56;2023;11
CASTILLA Y LE?N;4401104,41;2023;07
GALICIA;4954137,62;2023;12
PRINCIPADO DE ASTURIAS;1949462,36;2023;03
CANTABRIA;912925,01;2023;06
PAIS VASCO;4404025,63;2023;16
LA RIOJA;566389,22;2023;17
C FORAL DE NAVARRA;1172410,57;2023;15
CANARIAS;3416826,76;2023;05
CATALU?A;15124333,8;2024;09
ARAG?N;2375061,59;2024;02
ILLES BALEARS;1982484,26;2024;04
COMUNITAT VALENCIANA;9093577,47;2024;10
REGI?N DE MURCIA;2504007,25;2024;14
ANDALUC?A;13834497,07;2024;01
COMUNIDAD DE MADRID;11307160,8;2024;13
CASTILLA - LA MANCHA;3409402,34;2024;08
EXTREMADURA;1759919,87;2024;11
CASTILLA Y LE?N;4709900,11;2024;07
GALICIA;5164895,7;2024;12
PRINCIPADO DE ASTURIAS;1903135,26;2024;03
CANTABRIA;922642,47;2024;06
PAIS VASCO;4611735,83;2024;16
LA RIOJA;585411,54;2024;17
C FORAL DE NAVARRA;1140979,12;2024;15
CANARIAS;3366099,92;2024;05
