Variables;n_componentes;rho;phi_1;sigma2;MAPE;RMSE_rel
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, NumeroSociedades_arima, Electricidad_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;7,13073640049162;0,166344322769962;0,236590881110323
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, Electricidad_arima, Carbón y derivados_arima;3;-0,999000000000000;0,999000000000000;5,60380176756355;0,223079603028685;0,236696874269731
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, NumeroSociedades_arima, Electricidad_arima, Capital_arima;3;-0,999000000000000;0,998212103152143;9,52679733103508;0,260648782641851;0,236782735368952
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima;3;-0,999000000000000;0,999000000000000;6,42906804826768;0,281526209192378;0,236889747429562
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, NumeroSociedades_arima, Electricidad_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;7,12517830348733;0,166554389004219;0,237498525969091
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, Carbón y derivados_arima, Gas_arima, Capital_arima;3;-0,998978459011962;0,998669641941769;8,57395734189666;0,319275393651856;0,238001717742274
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, NumeroSociedades_arima, Electricidad_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;7,20680446524334;0,153974968890648;0,238022387919659
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, NumeroSociedades_arima, Electricidad_arima, Gas_arima, Capital_arima;3;-0,999000000000000;0,998875252655360;7,61488073506529;0,261306968667916;0,238204519561733
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, NumeroSociedades_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;7,07347156200900;0,167391291075008;0,238596778579304
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Carbón y derivados_arima;3;-0,999000000000000;0,999000000000000;6,38648194479449;0,285890106518827;0,238598818891187
