Total Nacional;Comunidades y Ciudades Autónomas;Producto consumido;Período;Total
Total Nacional;05 Canarias;Gas;2021;3813
Total Nacional;05 Canarias;Gas;2019;7328
Total Nacional;05 Canarias;Gas;2017;5487
Total Nacional;05 Canarias;Gas;2015;5912
Total Nacional;05 Canarias;Gasóleo;2023;12598
Total Nacional;05 Canarias;Gasóleo;2022;11275
Total Nacional;05 Canarias;Gasóleo;2021;8808
Total Nacional;05 Canarias;Gasóleo;2019;10050
Total Nacional;05 Canarias;Gasóleo;2017;9157
Total Nacional;05 Canarias;Gasóleo;2015;9744
Total Nacional;05 Canarias;Fueloil;2023;2015
Total Nacional;05 Canarias;Fueloil;2022;3691
Total Nacional;05 Canarias;Fueloil;2021;2832
Total Nacional;05 Canarias;Fueloil;2019;4304
Total Nacional;05 Canarias;Fueloil;2017;3453
Total Nacional;05 Canarias;Fueloil;2015;4043
Total Nacional;05 Canarias;Otros productos petrolíferos;2023;9448
Total Nacional;05 Canarias;Otros productos petrolíferos;2022;7138
Total Nacional;05 Canarias;Otros productos petrolíferos;2021;2640
Total Nacional;05 Canarias;Otros productos petrolíferos;2019;1568
Total Nacional;05 Canarias;Otros productos petrolíferos;2017;1782
Total Nacional;05 Canarias;Otros productos petrolíferos;2015;3490
Total Nacional;05 Canarias;Carbón y coque;2023;18
Total Nacional;05 Canarias;Carbón y coque;2022;58
Total Nacional;05 Canarias;Carbón y coque;2021;339
Total Nacional;05 Canarias;Carbón y coque;2019;1596
Total Nacional;05 Canarias;Carbón y coque;2017;2089
Total Nacional;05 Canarias;Carbón y coque;2015;1925
Total Nacional;05 Canarias;Biocombustibles;2023;2008
Total Nacional;05 Canarias;Biocombustibles;2022;1077
Total Nacional;05 Canarias;Biocombustibles;2021;127
Total Nacional;05 Canarias;Biocombustibles;2019;121
Total Nacional;05 Canarias;Biocombustibles;2017;72
Total Nacional;05 Canarias;Biocombustibles;2015;10
Total Nacional;05 Canarias;Calor y otros consumos energéticos;2023;367
Total Nacional;05 Canarias;Calor y otros consumos energéticos;2022;626
Total Nacional;05 Canarias;Calor y otros consumos energéticos;2021;726
Total Nacional;05 Canarias;Calor y otros consumos energéticos;2019;580
Total Nacional;05 Canarias;Calor y otros consumos energéticos;2017;151
Total Nacional;05 Canarias;Calor y otros consumos energéticos;2015;287
Total Nacional;05 Canarias;Total consumos energéticos;2023;75870
Total Nacional;05 Canarias;Total consumos energéticos;2022;84130
Total Nacional;05 Canarias;Total consumos energéticos;2021;57334
Total Nacional;05 Canarias;Total consumos energéticos;2019;59596
Total Nacional;05 Canarias;Total consumos energéticos;2017;54148
Total Nacional;05 Canarias;Total consumos energéticos;2015;58212
Total Nacional;06 Cantabria;Electricidad;2023;195885
Total Nacional;06 Cantabria;Electricidad;2022;377849
Total Nacional;06 Cantabria;Electricidad;2021;233187
Total Nacional;06 Cantabria;Electricidad;2019;142352
Total Nacional;06 Cantabria;Electricidad;2017;152876
Total Nacional;06 Cantabria;Electricidad;2015;154383
Total Nacional;06 Cantabria;Gas;2023;81002
Total Nacional;06 Cantabria;Gas;2022;141680
Total Nacional;06 Cantabria;Gas;2021;56709
Total Nacional;06 Cantabria;Gas;2019;51612
Total Nacional;06 Cantabria;Gas;2017;58998
Total Nacional;06 Cantabria;Gas;2015;73432
Total Nacional;06 Cantabria;Gasóleo;2023;11513
Total Nacional;06 Cantabria;Gasóleo;2022;12177
Total Nacional;06 Cantabria;Gasóleo;2021;9225
Total Nacional;06 Cantabria;Gasóleo;2019;13506
Total Nacional;06 Cantabria;Gasóleo;2017;10858
Total Nacional;06 Cantabria;Gasóleo;2015;10669
Total Nacional;06 Cantabria;Fueloil;2023;2490
Total Nacional;06 Cantabria;Fueloil;2022;2812
Total Nacional;06 Cantabria;Fueloil;2021;2364
Total Nacional;06 Cantabria;Fueloil;2019;4369
Total Nacional;06 Cantabria;Fueloil;2017;1839
Total Nacional;06 Cantabria;Fueloil;2015;1935
Total Nacional;06 Cantabria;Otros productos petrolíferos;2023;2631
Total Nacional;06 Cantabria;Otros productos petrolíferos;2022;3457
Total Nacional;06 Cantabria;Otros productos petrolíferos;2021;641
Total Nacional;06 Cantabria;Otros productos petrolíferos;2019;13318
Total Nacional;06 Cantabria;Otros productos petrolíferos;2017;784
Total Nacional;06 Cantabria;Otros productos petrolíferos;2015;586
Total Nacional;06 Cantabria;Carbón y coque;2023;29
Total Nacional;06 Cantabria;Carbón y coque;2022;7795
Total Nacional;06 Cantabria;Carbón y coque;2021;2841
Total Nacional;06 Cantabria;Carbón y coque;2019;4431
Total Nacional;06 Cantabria;Carbón y coque;2017;24436
Total Nacional;06 Cantabria;Carbón y coque;2015;26508
Total Nacional;06 Cantabria;Biocombustibles;2023;2107
Total Nacional;06 Cantabria;Biocombustibles;2022;945
Total Nacional;06 Cantabria;Biocombustibles;2021;262
Total Nacional;06 Cantabria;Biocombustibles;2019;784
Total Nacional;06 Cantabria;Biocombustibles;2017;427
Total Nacional;06 Cantabria;Biocombustibles;2015;581
Total Nacional;06 Cantabria;Calor y otros consumos energéticos;2023;30198
Total Nacional;06 Cantabria;Calor y otros consumos energéticos;2022;37448
Total Nacional;06 Cantabria;Calor y otros consumos energéticos;2021;21708
Total Nacional;06 Cantabria;Calor y otros consumos energéticos;2019;2332
Total Nacional;06 Cantabria;Calor y otros consumos energéticos;2017;15518
Total Nacional;06 Cantabria;Calor y otros consumos energéticos;2015;20255
Total Nacional;06 Cantabria;Total consumos energéticos;2023;325856
Total Nacional;06 Cantabria;Total consumos energéticos;2022;584164
Total Nacional;06 Cantabria;Total consumos energéticos;2021;326938
Total Nacional;06 Cantabria;Total consumos energéticos;2019;232706
Total Nacional;06 Cantabria;Total consumos energéticos;2017;265734
Total Nacional;06 Cantabria;Total consumos energéticos;2015;288350
Total Nacional;07 Castilla y León;Electricidad;2023;590732
Total Nacional;07 Castilla y León;Electricidad;2022;873255
Total Nacional;07 Castilla y León;Electricidad;2021;522358
Total Nacional;07 Castilla y León;Electricidad;2019;422607
Total Nacional;07 Castilla y León;Electricidad;2017;379885
Total Nacional;07 Castilla y León;Electricidad;2015;380329
Total Nacional;07 Castilla y León;Gas;2023;359023
Total Nacional;07 Castilla y León;Gas;2022;427336
Total Nacional;07 Castilla y León;Gas;2021;217921
Total Nacional;07 Castilla y León;Gas;2019;203322
Total Nacional;07 Castilla y León;Gas;2017;182753
Total Nacional;07 Castilla y León;Gas;2015;226570
Total Nacional;07 Castilla y León;Gasóleo;2023;68434
Total Nacional;07 Castilla y León;Gasóleo;2022;73892
Total Nacional;07 Castilla y León;Gasóleo;2021;47725
Total Nacional;07 Castilla y León;Gasóleo;2019;62468
Total Nacional;07 Castilla y León;Gasóleo;2017;53110
Total Nacional;07 Castilla y León;Gasóleo;2015;67742
Total Nacional;07 Castilla y León;Fueloil;2023;3394
Total Nacional;07 Castilla y León;Fueloil;2022;7975
Total Nacional;07 Castilla y León;Fueloil;2021;3185
Total Nacional;07 Castilla y León;Fueloil;2019;3509
Total Nacional;07 Castilla y León;Fueloil;2017;4715
Total Nacional;07 Castilla y León;Fueloil;2015;4892
Total Nacional;07 Castilla y León;Otros productos petrolíferos;2023;18812
Total Nacional;07 Castilla y León;Otros productos petrolíferos;2022;21562
Total Nacional;07 Castilla y León;Otros productos petrolíferos;2021;4765
Total Nacional;07 Castilla y León;Otros productos petrolíferos;2019;4298
Total Nacional;07 Castilla y León;Otros productos petrolíferos;2017;5645
Total Nacional;07 Castilla y León;Otros productos petrolíferos;2015;5917
Total Nacional;07 Castilla y León;Carbón y coque;2023;2195
Total Nacional;07 Castilla y León;Carbón y coque;2022;2235
Total Nacional;07 Castilla y León;Carbón y coque;2021;7671
Total Nacional;07 Castilla y León;Carbón y coque;2019;8535
Total Nacional;07 Castilla y León;Carbón y coque;2017;11620
Total Nacional;07 Castilla y León;Carbón y coque;2015;11423
Total Nacional;07 Castilla y León;Biocombustibles;2023;6552
Total Nacional;07 Castilla y León;Biocombustibles;2022;19395
Total Nacional;07 Castilla y León;Biocombustibles;2021;3104
Total Nacional;07 Castilla y León;Biocombustibles;2019;5424
Total Nacional;07 Castilla y León;Biocombustibles;2017;1463
Total Nacional;07 Castilla y León;Biocombustibles;2015;4598
Total Nacional;07 Castilla y León;Calor y otros consumos energéticos;2023;41255
Total Nacional;07 Castilla y León;Calor y otros consumos energéticos;2022;97224
Total Nacional;07 Castilla y León;Calor y otros consumos energéticos;2021;26376
Total Nacional;07 Castilla y León;Calor y otros consumos energéticos;2019;12751
Total Nacional;07 Castilla y León;Calor y otros consumos energéticos;2017;10565
Total Nacional;07 Castilla y León;Calor y otros consumos energéticos;2015;14350
Total Nacional;07 Castilla y León;Total consumos energéticos;2023;1090398
Total Nacional;07 Castilla y León;Total consumos energéticos;2022;1522874
Total Nacional;07 Castilla y León;Total consumos energéticos;2021;833103
Total Nacional;07 Castilla y León;Total consumos energéticos;2019;722914
Total Nacional;07 Castilla y León;Total consumos energéticos;2017;649756
Total Nacional;07 Castilla y León;Total consumos energéticos;2015;715821
Total Nacional;08 Castilla - La Mancha;Electricidad;2023;404666
Total Nacional;08 Castilla - La Mancha;Electricidad;2022;699022
Total Nacional;08 Castilla - La Mancha;Electricidad;2021;384581
Total Nacional;08 Castilla - La Mancha;Electricidad;2019;285015
Total Nacional;08 Castilla - La Mancha;Electricidad;2017;255498
Total Nacional;08 Castilla - La Mancha;Electricidad;2015;240499
Total Nacional;08 Castilla - La Mancha;Gas;2023;259205
Total Nacional;08 Castilla - La Mancha;Gas;2022;280807
Total Nacional;08 Castilla - La Mancha;Gas;2021;173356
Total Nacional;08 Castilla - La Mancha;Gas;2019;167890
Total Nacional;08 Castilla - La Mancha;Gas;2017;135825
Total Nacional;08 Castilla - La Mancha;Gas;2015;142366
Total Nacional;08 Castilla - La Mancha;Gasóleo;2023;48665
Total Nacional;08 Castilla - La Mancha;Gasóleo;2022;60229
Total Nacional;08 Castilla - La Mancha;Gasóleo;2021;47805
Total Nacional;08 Castilla - La Mancha;Gasóleo;2019;43690
Total Nacional;08 Castilla - La Mancha;Gasóleo;2017;36256
Total Nacional;08 Castilla - La Mancha;Gasóleo;2015;36284
Total Nacional;08 Castilla - La Mancha;Fueloil;2023;2964
Total Nacional;08 Castilla - La Mancha;Fueloil;2022;5166
Total Nacional;08 Castilla - La Mancha;Fueloil;2021;3857
Total Nacional;08 Castilla - La Mancha;Fueloil;2019;22210
Total Nacional;08 Castilla - La Mancha;Fueloil;2017;19356
Total Nacional;08 Castilla - La Mancha;Fueloil;2015;12700
Total Nacional;08 Castilla - La Mancha;Otros productos petrolíferos;2023;14937
Total Nacional;08 Castilla - La Mancha;Otros productos petrolíferos;2022;21360
Total Nacional;08 Castilla - La Mancha;Otros productos petrolíferos;2021;3770
Total Nacional;08 Castilla - La Mancha;Otros productos petrolíferos;2019;1910
Total Nacional;08 Castilla - La Mancha;Otros productos petrolíferos;2017;3128
Total Nacional;08 Castilla - La Mancha;Otros productos petrolíferos;2015;2561
Total Nacional;08 Castilla - La Mancha;Carbón y coque;2023;359
Total Nacional;08 Castilla - La Mancha;Carbón y coque;2022;4714
Total Nacional;08 Castilla - La Mancha;Carbón y coque;2021;11561
Total Nacional;08 Castilla - La Mancha;Carbón y coque;2019;10508
Total Nacional;08 Castilla - La Mancha;Carbón y coque;2017;3684
Total Nacional;08 Castilla - La Mancha;Carbón y coque;2015;4108
Total Nacional;08 Castilla - La Mancha;Biocombustibles;2023;7048
Total Nacional;08 Castilla - La Mancha;Biocombustibles;2022;4138
Total Nacional;08 Castilla - La Mancha;Biocombustibles;2021;2232
Total Nacional;08 Castilla - La Mancha;Biocombustibles;2019;3752
Total Nacional;08 Castilla - La Mancha;Biocombustibles;2017;1911
Total Nacional;08 Castilla - La Mancha;Biocombustibles;2015;1318
Total Nacional;08 Castilla - La Mancha;Calor y otros consumos energéticos;2023;32005
Total Nacional;08 Castilla - La Mancha;Calor y otros consumos energéticos;2022;56418
Total Nacional;08 Castilla - La Mancha;Calor y otros consumos energéticos;2021;18933
Total Nacional;08 Castilla - La Mancha;Calor y otros consumos energéticos;2019;24461
Total Nacional;08 Castilla - La Mancha;Calor y otros consumos energéticos;2017;21003
Total Nacional;08 Castilla - La Mancha;Calor y otros consumos energéticos;2015;19067
Total Nacional;08 Castilla - La Mancha;Total consumos energéticos;2023;769849
Total Nacional;08 Castilla - La Mancha;Total consumos energéticos;2022;1131855
Total Nacional;08 Castilla - La Mancha;Total consumos energéticos;2021;646096
Total Nacional;08 Castilla - La Mancha;Total consumos energéticos;2019;559435
Total Nacional;08 Castilla - La Mancha;Total consumos energéticos;2017;476661
Total Nacional;08 Castilla - La Mancha;Total consumos energéticos;2015;458902
Total Nacional;09 Cataluña;Electricidad;2023;1851565
Total Nacional;09 Cataluña;Electricidad;2022;3059538
Total Nacional;09 Cataluña;Electricidad;2021;1889476
Total Nacional;09 Cataluña;Electricidad;2019;1414503
Total Nacional;09 Cataluña;Electricidad;2017;1438588
Total Nacional;09 Cataluña;Electricidad;2015;1454723
Total Nacional;09 Cataluña;Gas;2023;902112
Total Nacional;09 Cataluña;Gas;2022;1299161
Total Nacional;09 Cataluña;Gas;2021;639091
Total Nacional;09 Cataluña;Gas;2019;738889
Total Nacional;09 Cataluña;Gas;2017;630983
Total Nacional;09 Cataluña;Gas;2015;740968
Total Nacional;09 Cataluña;Gasóleo;2023;101440
Total Nacional;09 Cataluña;Gasóleo;2022;106308
Total Nacional;09 Cataluña;Gasóleo;2021;87473
Total Nacional;09 Cataluña;Gasóleo;2019;109747
Total Nacional;09 Cataluña;Gasóleo;2017;108535
Total Nacional;09 Cataluña;Gasóleo;2015;96591
Total Nacional;09 Cataluña;Fueloil;2023;4510
Total Nacional;09 Cataluña;Fueloil;2022;4671
Total Nacional;09 Cataluña;Fueloil;2021;3895
Total Nacional;09 Cataluña;Fueloil;2019;8829
Total Nacional;09 Cataluña;Fueloil;2017;6465
Total Nacional;09 Cataluña;Fueloil;2015;9223
Total Nacional;09 Cataluña;Otros productos petrolíferos;2023;33827
Total Nacional;09 Cataluña;Otros productos petrolíferos;2022;44445
Total Nacional;09 Cataluña;Otros productos petrolíferos;2021;16447
Total Nacional;09 Cataluña;Otros productos petrolíferos;2019;12222
Total Nacional;09 Cataluña;Otros productos petrolíferos;2017;18130
Total Nacional;09 Cataluña;Otros productos petrolíferos;2015;10888
Total Nacional;09 Cataluña;Carbón y coque;2023;7957
Total Nacional;09 Cataluña;Carbón y coque;2022;5772
Total Nacional;09 Cataluña;Carbón y coque;2021;17758
Total Nacional;09 Cataluña;Carbón y coque;2019;16239
Total Nacional;09 Cataluña;Carbón y coque;2017;16839
Total Nacional;09 Cataluña;Carbón y coque;2015;20197
Total Nacional;09 Cataluña;Biocombustibles;2023;16104
Total Nacional;09 Cataluña;Biocombustibles;2022;12410
Total Nacional;09 Cataluña;Biocombustibles;2021;5425
Total Nacional;09 Cataluña;Biocombustibles;2019;9964
Total Nacional;09 Cataluña;Biocombustibles;2017;2827
Total Nacional;09 Cataluña;Biocombustibles;2015;4156
Total Nacional;09 Cataluña;Calor y otros consumos energéticos;2023;235406
Total Nacional;09 Cataluña;Calor y otros consumos energéticos;2022;287848
Total Nacional;09 Cataluña;Calor y otros consumos energéticos;2021;160236
Total Nacional;09 Cataluña;Calor y otros consumos energéticos;2019;119218
Total Nacional;09 Cataluña;Calor y otros consumos energéticos;2017;96981
Total Nacional;09 Cataluña;Calor y otros consumos energéticos;2015;76615
Total Nacional;09 Cataluña;Total consumos energéticos;2023;3152921
Total Nacional;09 Cataluña;Total consumos energéticos;2022;4820153
Total Nacional;09 Cataluña;Total consumos energéticos;2021;2819802
Total Nacional;09 Cataluña;Total consumos energéticos;2019;2429610
Total Nacional;09 Cataluña;Total consumos energéticos;2017;2319349
Total Nacional;09 Cataluña;Total consumos energéticos;2015;2413360
Total Nacional;10 Comunitat Valenciana;Electricidad;2023;926892
Total Nacional;10 Comunitat Valenciana;Electricidad;2022;1556787
Total Nacional;10 Comunitat Valenciana;Electricidad;2021;947187
Total Nacional;10 Comunitat Valenciana;Electricidad;2019;668364
Total Nacional;10 Comunitat Valenciana;Electricidad;2017;646801
Total Nacional;10 Comunitat Valenciana;Electricidad;2015;622121
Total Nacional;10 Comunitat Valenciana;Gas;2023;1122938
Total Nacional;10 Comunitat Valenciana;Gas;2022;1854275
Total Nacional;10 Comunitat Valenciana;Gas;2021;878642
Total Nacional;10 Comunitat Valenciana;Gas;2019;588951
Total Nacional;10 Comunitat Valenciana;Gas;2017;568302
Total Nacional;10 Comunitat Valenciana;Gas;2015;611203
Total Nacional;10 Comunitat Valenciana;Gasóleo;2023;85176
Total Nacional;10 Comunitat Valenciana;Gasóleo;2022;85878
Total Nacional;10 Comunitat Valenciana;Gasóleo;2021;76779
Total Nacional;10 Comunitat Valenciana;Gasóleo;2019;87150
Total Nacional;10 Comunitat Valenciana;Gasóleo;2017;76207
Total Nacional;10 Comunitat Valenciana;Gasóleo;2015;70082
Total Nacional;10 Comunitat Valenciana;Fueloil;2023;2150
Total Nacional;10 Comunitat Valenciana;Fueloil;2022;2452
Total Nacional;10 Comunitat Valenciana;Fueloil;2021;3138
Total Nacional;10 Comunitat Valenciana;Fueloil;2019;4166
Total Nacional;10 Comunitat Valenciana;Fueloil;2017;2741
Total Nacional;10 Comunitat Valenciana;Fueloil;2015;4146
Total Nacional;10 Comunitat Valenciana;Otros productos petrolíferos;2023;22359
Total Nacional;10 Comunitat Valenciana;Otros productos petrolíferos;2022;35794
Total Nacional;10 Comunitat Valenciana;Otros productos petrolíferos;2021;12917
Total Nacional;10 Comunitat Valenciana;Otros productos petrolíferos;2019;5221
Total Nacional;10 Comunitat Valenciana;Otros productos petrolíferos;2017;12273
Total Nacional;10 Comunitat Valenciana;Otros productos petrolíferos;2015;11071
Total Nacional;10 Comunitat Valenciana;Carbón y coque;2023;2587
Total Nacional;10 Comunitat Valenciana;Carbón y coque;2022;3163
Total Nacional;10 Comunitat Valenciana;Carbón y coque;2021;5482
Total Nacional;10 Comunitat Valenciana;Carbón y coque;2019;8279
Total Nacional;10 Comunitat Valenciana;Carbón y coque;2017;7495
Total Nacional;10 Comunitat Valenciana;Carbón y coque;2015;11618
Total Nacional;10 Comunitat Valenciana;Biocombustibles;2023;9122
Total Nacional;10 Comunitat Valenciana;Biocombustibles;2022;21639
Total Nacional;10 Comunitat Valenciana;Biocombustibles;2021;2266
Total Nacional;10 Comunitat Valenciana;Biocombustibles;2019;3954
Total Nacional;10 Comunitat Valenciana;Biocombustibles;2017;1918
Total Nacional;10 Comunitat Valenciana;Biocombustibles;2015;3499
Total Nacional;10 Comunitat Valenciana;Calor y otros consumos energéticos;2023;41068
Total Nacional;10 Comunitat Valenciana;Calor y otros consumos energéticos;2022;46869
Total Nacional;10 Comunitat Valenciana;Calor y otros consumos energéticos;2021;26557
Total Nacional;10 Comunitat Valenciana;Calor y otros consumos energéticos;2019;37636
Total Nacional;10 Comunitat Valenciana;Calor y otros consumos energéticos;2017;20886
Total Nacional;10 Comunitat Valenciana;Calor y otros consumos energéticos;2015;27105
Total Nacional;10 Comunitat Valenciana;Total consumos energéticos;2023;2212292
Total Nacional;10 Comunitat Valenciana;Total consumos energéticos;2022;3606858
Total Nacional;10 Comunitat Valenciana;Total consumos energéticos;2021;1952968
Total Nacional;10 Comunitat Valenciana;Total consumos energéticos;2019;1403721
Total Nacional;10 Comunitat Valenciana;Total consumos energéticos;2017;1336622
Total Nacional;10 Comunitat Valenciana;Total consumos energéticos;2015;1360846
Total Nacional;11 Extremadura;Electricidad;2023;160249
Total Nacional;11 Extremadura;Electricidad;2022;257564
Total Nacional;11 Extremadura;Electricidad;2021;154976
Total Nacional;11 Extremadura;Electricidad;2019;93373
Total Nacional;11 Extremadura;Electricidad;2017;81367
Total Nacional;11 Extremadura;Electricidad;2015;73117
Total Nacional;11 Extremadura;Gas;2023;127131
Total Nacional;11 Extremadura;Gas;2022;118755
Total Nacional;11 Extremadura;Gas;2021;48442
Total Nacional;11 Extremadura;Gas;2019;41672
Total Nacional;11 Extremadura;Gas;2017;40535
Total Nacional;11 Extremadura;Gas;2015;51442
Total Nacional;11 Extremadura;Gasóleo;2023;16395
Total Nacional;11 Extremadura;Gasóleo;2022;12730
Total Nacional;11 Extremadura;Gasóleo;2021;9096
Total Nacional;11 Extremadura;Gasóleo;2019;15221
Total Nacional;11 Extremadura;Gasóleo;2017;10558
Total Nacional;11 Extremadura;Gasóleo;2015;6772
Total Nacional;11 Extremadura;Fueloil;2023;1000
Total Nacional;11 Extremadura;Fueloil;2022;837
Total Nacional;11 Extremadura;Fueloil;2021;1330
Total Nacional;11 Extremadura;Fueloil;2019;1569
Total Nacional;11 Extremadura;Fueloil;2017;694
Total Nacional;11 Extremadura;Fueloil;2015;1161
Total Nacional;11 Extremadura;Otros productos petrolíferos;2023;6650
Total Nacional;11 Extremadura;Otros productos petrolíferos;2022;8782
Total Nacional;11 Extremadura;Otros productos petrolíferos;2021;801
Total Nacional;11 Extremadura;Otros productos petrolíferos;2019;833
Total Nacional;11 Extremadura;Otros productos petrolíferos;2017;683
Total Nacional;11 Extremadura;Otros productos petrolíferos;2015;1029
Total Nacional;11 Extremadura;Carbón y coque;2023;45
Total Nacional;11 Extremadura;Carbón y coque;2022;176
Total Nacional;11 Extremadura;Carbón y coque;2021;6561
Total Nacional;11 Extremadura;Carbón y coque;2019;3906
Total Nacional;11 Extremadura;Carbón y coque;2017;5368
Total Nacional;11 Extremadura;Carbón y coque;2015;3744
Total Nacional;11 Extremadura;Biocombustibles;2023;4505
Total Nacional;11 Extremadura;Biocombustibles;2022;2724
Total Nacional;11 Extremadura;Biocombustibles;2021;689
Total Nacional;11 Extremadura;Biocombustibles;2019;351
Total Nacional;11 Extremadura;Biocombustibles;2017;278
Total Nacional;11 Extremadura;Biocombustibles;2015;233
Total Nacional;11 Extremadura;Calor y otros consumos energéticos;2023;876
Total Nacional;11 Extremadura;Calor y otros consumos energéticos;2022;504
Total Nacional;11 Extremadura;Calor y otros consumos energéticos;2021;303
Total Nacional;11 Extremadura;Calor y otros consumos energéticos;2019;776
Total Nacional;11 Extremadura;Calor y otros consumos energéticos;2017;2660
Total Nacional;11 Extremadura;Calor y otros consumos energéticos;2015;2484
Total Nacional;11 Extremadura;Total consumos energéticos;2023;316852
Total Nacional;11 Extremadura;Total consumos energéticos;2022;402071
Total Nacional;11 Extremadura;Total consumos energéticos;2021;222199
Total Nacional;11 Extremadura;Total consumos energéticos;2019;157701
Total Nacional;11 Extremadura;Total consumos energéticos;2017;142143
Total Nacional;11 Extremadura;Total consumos energéticos;2015;139981
Total Nacional;12 Galicia;Electricidad;2023;503331
Total Nacional;12 Galicia;Electricidad;2022;955804
Total Nacional;12 Galicia;Electricidad;2021;779525
Total Nacional;12 Galicia;Electricidad;2019;564851
Total Nacional;12 Galicia;Electricidad;2017;542677
Total Nacional;12 Galicia;Electricidad;2015;551790
Total Nacional;12 Galicia;Gas;2023;237638
Total Nacional;12 Galicia;Gas;2022;533971
Total Nacional;12 Galicia;Gas;2021;204798
Total Nacional;12 Galicia;Gas;2019;212699
Total Nacional;12 Galicia;Gas;2017;179975
Total Nacional;12 Galicia;Gas;2015;193879
Total Nacional;12 Galicia;Gasóleo;2023;70776
Total Nacional;12 Galicia;Gasóleo;2022;74182
Total Nacional;12 Galicia;Gasóleo;2021;50456
Total Nacional;12 Galicia;Gasóleo;2019;76758
Total Nacional;12 Galicia;Gasóleo;2017;49726
Total Nacional;12 Galicia;Gasóleo;2015;59864
Total Nacional;12 Galicia;Fueloil;2023;17952
Total Nacional;12 Galicia;Fueloil;2022;28274
Total Nacional;12 Galicia;Fueloil;2021;31033
Total Nacional;12 Galicia;Fueloil;2019;22325
Total Nacional;12 Galicia;Fueloil;2017;21514
Total Nacional;12 Galicia;Fueloil;2015;41999
Total Nacional;12 Galicia;Otros productos petrolíferos;2023;10245
Total Nacional;12 Galicia;Otros productos petrolíferos;2022;12618
Total Nacional;12 Galicia;Otros productos petrolíferos;2021;5537
Total Nacional;12 Galicia;Otros productos petrolíferos;2019;4469
Total Nacional;12 Galicia;Otros productos petrolíferos;2017;4736
Total Nacional;12 Galicia;Otros productos petrolíferos;2015;4725
Total Nacional;12 Galicia;Carbón y coque;2023;1463
Total Nacional;12 Galicia;Carbón y coque;2022;406
Total Nacional;12 Galicia;Carbón y coque;2021;5159
Total Nacional;12 Galicia;Carbón y coque;2019;1665
Total Nacional;12 Galicia;Carbón y coque;2017;2628
Total Nacional;12 Galicia;Carbón y coque;2015;3903
Total Nacional;12 Galicia;Biocombustibles;2023;4666
Total Nacional;12 Galicia;Biocombustibles;2022;5881
Total Nacional;12 Galicia;Biocombustibles;2021;6742
Total Nacional;12 Galicia;Biocombustibles;2019;3083
Total Nacional;12 Galicia;Biocombustibles;2017;4752
Total Nacional;12 Galicia;Biocombustibles;2015;21090
Total Nacional;12 Galicia;Calor y otros consumos energéticos;2023;27202
Total Nacional;12 Galicia;Calor y otros consumos energéticos;2022;40694
Total Nacional;12 Galicia;Calor y otros consumos energéticos;2021;20583
Total Nacional;12 Galicia;Calor y otros consumos energéticos;2019;18577
Total Nacional;12 Galicia;Calor y otros consumos energéticos;2017;15390
Total Nacional;12 Galicia;Calor y otros consumos energéticos;2015;17732
Total Nacional;12 Galicia;Total consumos energéticos;2023;873272
Total Nacional;12 Galicia;Total consumos energéticos;2022;1651830
Total Nacional;12 Galicia;Total consumos energéticos;2021;1103833
Total Nacional;12 Galicia;Total consumos energéticos;2019;904428
Total Nacional;12 Galicia;Total consumos energéticos;2017;821396
Total Nacional;12 Galicia;Total consumos energéticos;2015;894981
Total Nacional;13 Madrid Comunidad de;Electricidad;2023;416451
Total Nacional;13 Madrid Comunidad de;Electricidad;2022;580695
Total Nacional;13 Madrid Comunidad de;Electricidad;2021;376289
Total Nacional;13 Madrid Comunidad de;Electricidad;2019;341159
Total Nacional;13 Madrid Comunidad de;Electricidad;2017;307462
Total Nacional;13 Madrid Comunidad de;Electricidad;2015;309014
Total Nacional;13 Madrid Comunidad de;Gas;2023;184668
Total Nacional;13 Madrid Comunidad de;Gas;2022;264888
Total Nacional;13 Madrid Comunidad de;Gas;2021;144896
Total Nacional;13 Madrid Comunidad de;Gas;2019;113915
Total Nacional;13 Madrid Comunidad de;Gas;2017;98249
Total Nacional;13 Madrid Comunidad de;Gas;2015;124750
Total Nacional;13 Madrid Comunidad de;Gasóleo;2023;46521
Total Nacional;13 Madrid Comunidad de;Gasóleo;2022;44621
Total Nacional;13 Madrid Comunidad de;Gasóleo;2021;51052
Total Nacional;13 Madrid Comunidad de;Gasóleo;2019;50608
Total Nacional;13 Madrid Comunidad de;Gasóleo;2017;37675
Total Nacional;13 Madrid Comunidad de;Gasóleo;2015;38779
Total Nacional;13 Madrid Comunidad de;Fueloil;2023;4452
Total Nacional;13 Madrid Comunidad de;Fueloil;2022;2600
Total Nacional;13 Madrid Comunidad de;Fueloil;2021;2382
Total Nacional;13 Madrid Comunidad de;Fueloil;2019;2022
Total Nacional;13 Madrid Comunidad de;Fueloil;2017;2823
Total Nacional;13 Madrid Comunidad de;Fueloil;2015;3245
Total Nacional;13 Madrid Comunidad de;Otros productos petrolíferos;2023;11256
Total Nacional;13 Madrid Comunidad de;Otros productos petrolíferos;2022;19257
Total Nacional;13 Madrid Comunidad de;Otros productos petrolíferos;2021;7342
Total Nacional;13 Madrid Comunidad de;Otros productos petrolíferos;2019;5484
Total Nacional;13 Madrid Comunidad de;Otros productos petrolíferos;2017;7976
Total Nacional;13 Madrid Comunidad de;Otros productos petrolíferos;2015;6669
