Total Nacional;Comunidades y Ciudades Autónomas;Producto consumido;Período;Total
Total Nacional;05 Canarias;Otros consumos energéticos;2011;4078
Total Nacional;05 Canarias;Otros consumos energéticos;2009;888
Total Nacional;05 Canarias;Total consumos energéticos;2013;86953
Total Nacional;05 Canarias;Total consumos energéticos;2011;109732
Total Nacional;05 Canarias;Total consumos energéticos;2009;72452
Total Nacional;06 Cantabria;Electricidad;2013;150548
Total Nacional;06 Cantabria;Electricidad;2011;169203
Total Nacional;06 Cantabria;Electricidad;2009;135331
Total Nacional;06 Cantabria;Gas;2013;59833
Total Nacional;06 Cantabria;Gas;2011;57573
Total Nacional;06 Cantabria;Gas;2009;51753
Total Nacional;06 Cantabria;Gasóleo;2013;1526
Total Nacional;06 Cantabria;Gasóleo;2011;20497
Total Nacional;06 Cantabria;Gasóleo;2009;14188
Total Nacional;06 Cantabria;Fueloil;2013;1368
Total Nacional;06 Cantabria;Fueloil;2011;1904
Total Nacional;06 Cantabria;Fueloil;2009;1962
Total Nacional;06 Cantabria;Otros productos petrolíferos;2013;1896
Total Nacional;06 Cantabria;Otros productos petrolíferos;2011;1583
Total Nacional;06 Cantabria;Otros productos petrolíferos;2009;2082
Total Nacional;06 Cantabria;Carbón y derivados;2013;
Total Nacional;06 Cantabria;Carbón y derivados;2011;13112
Total Nacional;06 Cantabria;Carbón y derivados;2009;1566
Total Nacional;06 Cantabria;Carbón y coque;2013;9449
Total Nacional;06 Cantabria;Carbón y coque;2011;
Total Nacional;06 Cantabria;Carbón y coque;2009;
Total Nacional;06 Cantabria;Biocombustibles;2013;675
Total Nacional;06 Cantabria;Biocombustibles;2011;
Total Nacional;06 Cantabria;Biocombustibles;2009;
Total Nacional;06 Cantabria;Calor y otros consumos energéticos;2013;25656
Total Nacional;06 Cantabria;Calor y otros consumos energéticos;2011;
Total Nacional;06 Cantabria;Calor y otros consumos energéticos;2009;
Total Nacional;06 Cantabria;Otros consumos energéticos;2013;
Total Nacional;06 Cantabria;Otros consumos energéticos;2011;26378
Total Nacional;06 Cantabria;Otros consumos energéticos;2009;15102
Total Nacional;06 Cantabria;Total consumos energéticos;2013;264684
Total Nacional;06 Cantabria;Total consumos energéticos;2011;29025
Total Nacional;06 Cantabria;Total consumos energéticos;2009;236079
Total Nacional;07 Castilla y León;Electricidad;2013;355135
Total Nacional;07 Castilla y León;Electricidad;2011;360826
Total Nacional;07 Castilla y León;Electricidad;2009;337675
