Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Forma jurídica;Número de sociedades y capital (en miles de euros);Periodo;Total
Total Nacional;;;SL;Número de Sociedades;2001;106784
Total Nacional;;;SL;Número de Sociedades;2000;110492
Total Nacional;;;SL;capital (en miles de euros) suscrito;2023;5984263
Total Nacional;;;SL;capital (en miles de euros) suscrito;2022;4903399
Total Nacional;;;SL;capital (en miles de euros) suscrito;2021;4594966
Total Nacional;;;SL;capital (en miles de euros) suscrito;2020;4672359
Total Nacional;;;SL;capital (en miles de euros) suscrito;2019;5314317
Total Nacional;;;SL;capital (en miles de euros) suscrito;2018;4874470
Total Nacional;;;SL;capital (en miles de euros) suscrito;2017;5029135
Total Nacional;;;SL;capital (en miles de euros) suscrito;2016;4920614
Total Nacional;;;SL;capital (en miles de euros) suscrito;2015;5046496
Total Nacional;;;SL;capital (en miles de euros) suscrito;2014;5522779
Total Nacional;;;SL;capital (en miles de euros) suscrito;2013;5308561
Total Nacional;;;SL;capital (en miles de euros) suscrito;2012;4684612
Total Nacional;;;SL;capital (en miles de euros) suscrito;2011;3951353
Total Nacional;;;SL;capital (en miles de euros) suscrito;2010;6799574
Total Nacional;;;SL;capital (en miles de euros) suscrito;2009;4049563
Total Nacional;;;SL;capital (en miles de euros) suscrito;2008;6111600
Total Nacional;;;SL;capital (en miles de euros) suscrito;2007;10286069
Total Nacional;;;SL;capital (en miles de euros) suscrito;2006;7771402
Total Nacional;;;SL;capital (en miles de euros) suscrito;2005;7991946
Total Nacional;;;SL;capital (en miles de euros) suscrito;2004;6986796
Total Nacional;;;SL;capital (en miles de euros) suscrito;2003;6048401
Total Nacional;;;SL;capital (en miles de euros) suscrito;2002;6695337
Total Nacional;;;SL;capital (en miles de euros) suscrito;2001;7056865
Total Nacional;;;SL;capital (en miles de euros) suscrito;2000;5977198
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2023;5984261
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2022;4903554
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2021;4594966
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2020;4672359
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2019;5314317
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2018;4874470
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2017;5029135
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2016;4920614
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2015;5046496
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2014;5522779
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2013;5308561
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2012;4684612
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2011;3951353
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2010;6799574
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2009;4049563
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2008;6111600
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2007;10286069
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2006;7771402
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2005;7985946
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2004;8071137
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2003;6048401
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2002;6695337
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2001;7056865
Total Nacional;;;SL;capital (en miles de euros) desembolsado;2000;538459750
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2023;19
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2022;18
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2021;12
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2020;16
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2019;31
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2018;21
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2017;33
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2016;178
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2015;12
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2014;9
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2013;2
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2012;14
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2011;10
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2010;20
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2009;13
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2008;19
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2007;14
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2006;18
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2005;31
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2004;7
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2003;11
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2002;23
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2001;20
Total Nacional;;;S COM, S COM PA y SC;Número de Sociedades;2000;48
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2023;370
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2022;4042
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2021;116
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2020;2058
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2019;1096
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2018;2358
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2017;625
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2016;3992
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2015;255
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2014;692
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2013;125
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2012;299
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2011;10548
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2010;360
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2009;206
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2008;1666
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2007;440
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2006;2259
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2005;3510
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2004;277
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2003;336
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2002;6520
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2001;16610
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2000;2226
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2023;370
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2022;4042
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2021;116
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2020;2058
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2019;1096
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2018;2358
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2017;625
