Variables;n_componentes;rho;phi_1;sigma2;MAPE;RMSE_rel
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivosMujeres_arima, Intercept Electricidad_arima, Intercept Capital_arima;3;-0,999000000000000;0,997777976378001;1,175184005155828;0,146183955447735;0,231566544570002
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, Carbón y derivados_arima, Capital_arima, EurosDesembolsado_arima;3;-0,998079851045671;0,998525555154368;0,900406731661801;0,136421606993032;0,231584228393336
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivosMujeres_arima, Intercept Carbón y derivados_arima, Intercept Capital_arima, Intercept EurosDesembolsado_arima;3;-0,998079851045671;0,998525555154368;0,900406731661801;0,136421606993032;0,231584228393336
Total_arima, ConsumoEuros_arima, Carbón y derivados_arima;3;-0,999000000000000;0,998436869397619;0,963833756916979;0,253739562489485;0,231616415921448
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept Carbón y derivados_arima;3;-0,999000000000000;0,998436869397619;0,963833756916979;0,253739562489485;0,231616415921448
Total_arima, ConsumoEuros_arima, Carbón y derivados_arima, Gas_arima;3;-0,996858466969242;0,998462763545210;0,972988392415400;0,246774424756835;0,231707707587422
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept Carbón y derivados_arima, Intercept Gas_arima;3;-0,996858466969242;0,998462763545210;0,972988392415400;0,246774424756835;0,231707707587422
Total_arima, ConsumoEuros_arima, NumeroSociedades_arima, Carbón y derivados_arima, Capital_arima, EurosDesembolsado_arima;3;-0,996764783546523;0,998795354083148;0,845424498509161;0,249007390349144;0,231719154667912
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroSociedades_arima, Intercept Carbón y derivados_arima, Intercept Capital_arima, Intercept EurosDesembolsado_arima;3;-0,996764783546523;0,998795354083148;0,845424498509161;0,249007390349144;0,231719154667912
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, NumeroSociedades_arima, Electricidad_arima, Capital_arima;3;-0,999000000000000;0,997893146153831;1,030474779408935;0,157540092293581;0,231801472432137
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivosMujeres_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Capital_arima;3;-0,999000000000000;0,997893146153831;1,030474779408935;0,157540092293581;0,231801472432137
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Electricidad_arima, Carbón y derivados_arima, Gas_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998500575593519;0,874361770684666;0,185310604069442;0,231809970560104
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivosMujeres_arima, Intercept PobTotal_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima, Intercept Gas_arima, Intercept Capital_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,998500575593519;0,874361770684666;0,185310604069442;0,231809970560104
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Electricidad_arima, Carbón y derivados_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998404910404189;0,872998357072511;0,190388752410076;0,232013556685968
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivosMujeres_arima, Intercept PobTotal_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima, Intercept Gas_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,998404910404189;0,872998357072511;0,190388752410076;0,232013556685968
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, ActivosMujeres_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Gas_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,573507644709143;0,165330803521747;0,232787249782021
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept ActivosMujeres_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Gas_arima, Intercept Capital_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,573507644709143;0,165330803521747;0,232787249782021
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, Carbón y derivados_arima, Gas_arima;3;-0,999000000000000;0,998544693018355;0,891016204993929;0,155891811656426;0,233722272680238
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivosMujeres_arima, Intercept Carbón y derivados_arima, Intercept Gas_arima;3;-0,999000000000000;0,998544693018355;0,891016204993929;0,155891811656426;0,233722272680238
