Nacional;Comunidades y Ciudades Autonomas;Sexo;Periodo;Total
Total;03 Asturias, Principado de;Total;2005;1076635
Total;03 Asturias, Principado de;Total;2004;1073761
Total;03 Asturias, Principado de;Total;2003;1075381
Total;03 Asturias, Principado de;Total;2002;1073971
Total;03 Asturias, Principado de;Total;2001;1075329
Total;03 Asturias, Principado de;Total;2000;1076567
Total;03 Asturias, Principado de;Total;1999;1084314
Total;03 Asturias, Principado de;Total;1998;1081834
Total;03 Asturias, Principado de;Total;1997;""
Total;03 Asturias, Principado de;Total;1996;1087885
Total;03 Asturias, Principado de;Hombres;2021;482665
Total;03 Asturias, Principado de;Hombres;2020;486066
Total;03 Asturias, Principado de;Hombres;2019;488137
Total;03 Asturias, Principado de;Hombres;2018;490738
Total;03 Asturias, Principado de;Hombres;2017;493911
Total;03 Asturias, Principado de;Hombres;2016;497852
Total;03 Asturias, Principado de;Hombres;2015;502175
Total;03 Asturias, Principado de;Hombres;2014;507927
Total;03 Asturias, Principado de;Hombres;2013;511346
Total;03 Asturias, Principado de;Hombres;2012;516420
Total;03 Asturias, Principado de;Hombres;2011;518571
Total;03 Asturias, Principado de;Hombres;2010;520402
Total;03 Asturias, Principado de;Hombres;2009;520916
Total;03 Asturias, Principado de;Hombres;2008;518291
Total;03 Asturias, Principado de;Hombres;2007;515292
Total;03 Asturias, Principado de;Hombres;2006;516347
Total;03 Asturias, Principado de;Hombres;2005;516329
Total;03 Asturias, Principado de;Hombres;2004;515047
Total;03 Asturias, Principado de;Hombres;2003;515945
Total;03 Asturias, Principado de;Hombres;2002;515166
Total;03 Asturias, Principado de;Hombres;2001;515897
Total;03 Asturias, Principado de;Hombres;2000;516398
Total;03 Asturias, Principado de;Hombres;1999;520012
Total;03 Asturias, Principado de;Hombres;1998;519530
Total;03 Asturias, Principado de;Hombres;1997;""
Total;03 Asturias, Principado de;Hombres;1996;522981
Total;03 Asturias, Principado de;Mujeres;2021;529127
Total;03 Asturias, Principado de;Mujeres;2020;532718
Total;03 Asturias, Principado de;Mujeres;2019;534663
Total;03 Asturias, Principado de;Mujeres;2018;537506
Total;03 Asturias, Principado de;Mujeres;2017;541049
Total;03 Asturias, Principado de;Mujeres;2016;544756
Total;03 Asturias, Principado de;Mujeres;2015;549054
Total;03 Asturias, Principado de;Mujeres;2014;553829
Total;03 Asturias, Principado de;Mujeres;2013;556819
Total;03 Asturias, Principado de;Mujeres;2012;560940
Total;03 Asturias, Principado de;Mujeres;2011;562916
Total;03 Asturias, Principado de;Mujeres;2010;563939
Total;03 Asturias, Principado de;Mujeres;2009;564373
Total;03 Asturias, Principado de;Mujeres;2008;561847
Total;03 Asturias, Principado de;Mujeres;2007;559570
Total;03 Asturias, Principado de;Mujeres;2006;560549
Total;03 Asturias, Principado de;Mujeres;2005;560306
Total;03 Asturias, Principado de;Mujeres;2004;558714
Total;03 Asturias, Principado de;Mujeres;2003;559436
Total;03 Asturias, Principado de;Mujeres;2002;558805
Total;03 Asturias, Principado de;Mujeres;2001;559432
Total;03 Asturias, Principado de;Mujeres;2000;560169
Total;03 Asturias, Principado de;Mujeres;1999;564302
Total;03 Asturias, Principado de;Mujeres;1998;562304
Total;03 Asturias, Principado de;Mujeres;1997;""
Total;03 Asturias, Principado de;Mujeres;1996;564904
Total;04 Balears, Illes;Total;2021;1173008
Total;04 Balears, Illes;Total;2020;1171543
Total;04 Balears, Illes;Total;2019;1149460
Total;04 Balears, Illes;Total;2018;1128908
Total;04 Balears, Illes;Total;2017;1115999
Total;04 Balears, Illes;Total;2016;1107220
Total;04 Balears, Illes;Total;2015;1104479
Total;04 Balears, Illes;Total;2014;1103442
Total;04 Balears, Illes;Total;2013;1111674
Total;04 Balears, Illes;Total;2012;1119439
Total;04 Balears, Illes;Total;2011;1113114
Total;04 Balears, Illes;Total;2010;1106049
Total;04 Balears, Illes;Total;2009;1095426
Total;04 Balears, Illes;Total;2008;1072844
Total;04 Balears, Illes;Total;2007;1030650
Total;04 Balears, Illes;Total;2006;1001062
Total;04 Balears, Illes;Total;2005;983131
Total;04 Balears, Illes;Total;2004;955045
Total;04 Balears, Illes;Total;2003;947361
Total;04 Balears, Illes;Total;2002;916968
Total;04 Balears, Illes;Total;2001;878627
Total;04 Balears, Illes;Total;2000;845630
Total;04 Balears, Illes;Total;1999;821820
Total;04 Balears, Illes;Total;1998;796483
Total;04 Balears, Illes;Total;1997;""
Total;04 Balears, Illes;Total;1996;760379
Total;04 Balears, Illes;Hombres;2021;584853
Total;04 Balears, Illes;Hombres;2020;584298
Total;04 Balears, Illes;Hombres;2019;572757
Total;04 Balears, Illes;Hombres;2018;561803
Total;04 Balears, Illes;Hombres;2017;554925
Total;04 Balears, Illes;Hombres;2016;550682
Total;04 Balears, Illes;Hombres;2015;549678
Total;04 Balears, Illes;Hombres;2014;549801
Total;04 Balears, Illes;Hombres;2013;554603
Total;04 Balears, Illes;Hombres;2012;560091
Total;04 Balears, Illes;Hombres;2011;557577
Total;04 Balears, Illes;Hombres;2010;555204
Total;04 Balears, Illes;Hombres;2009;551079
Total;04 Balears, Illes;Hombres;2008;540395
Total;04 Balears, Illes;Hombres;2007;517593
Total;04 Balears, Illes;Hombres;2006;501899
Total;04 Balears, Illes;Hombres;2005;492642
Total;04 Balears, Illes;Hombres;2004;478046
Total;04 Balears, Illes;Hombres;2003;474248
Total;04 Balears, Illes;Hombres;2002;458349
Total;04 Balears, Illes;Hombres;2001;437340
Total;04 Balears, Illes;Hombres;2000;419095
Total;04 Balears, Illes;Hombres;1999;406358
Total;04 Balears, Illes;Hombres;1998;392835
Total;04 Balears, Illes;Hombres;1997;""
Total;04 Balears, Illes;Hombres;1996;373891
Total;04 Balears, Illes;Mujeres;2021;588155
Total;04 Balears, Illes;Mujeres;2020;587245
Total;04 Balears, Illes;Mujeres;2019;576703
Total;04 Balears, Illes;Mujeres;2018;567105
Total;04 Balears, Illes;Mujeres;2017;561074
Total;04 Balears, Illes;Mujeres;2016;556538
Total;04 Balears, Illes;Mujeres;2015;554801
Total;04 Balears, Illes;Mujeres;2014;553641
Total;04 Balears, Illes;Mujeres;2013;557071
Total;04 Balears, Illes;Mujeres;2012;559348
Total;04 Balears, Illes;Mujeres;2011;555537
Total;04 Balears, Illes;Mujeres;2010;550845
Total;04 Balears, Illes;Mujeres;2009;544347
Total;04 Balears, Illes;Mujeres;2008;532449
Total;04 Balears, Illes;Mujeres;2007;513057
Total;04 Balears, Illes;Mujeres;2006;499163
Total;04 Balears, Illes;Mujeres;2005;490489
Total;04 Balears, Illes;Mujeres;2004;476999
Total;04 Balears, Illes;Mujeres;2003;473113
Total;04 Balears, Illes;Mujeres;2002;458619
Total;04 Balears, Illes;Mujeres;2001;441287
Total;04 Balears, Illes;Mujeres;2000;426535
Total;04 Balears, Illes;Mujeres;1999;415462
Total;04 Balears, Illes;Mujeres;1998;403648
Total;04 Balears, Illes;Mujeres;1997;""
Total;04 Balears, Illes;Mujeres;1996;386488
Total;05 Canarias;Total;2021;2172944
Total;05 Canarias;Total;2020;2175952
Total;05 Canarias;Total;2019;2153389
Total;05 Canarias;Total;2018;2127685
Total;05 Canarias;Total;2017;2108121
Total;05 Canarias;Total;2016;2101924
Total;05 Canarias;Total;2015;2100306
Total;05 Canarias;Total;2014;2104815
Total;05 Canarias;Total;2013;2118679
Total;05 Canarias;Total;2012;2118344
Total;05 Canarias;Total;2011;2126769
Total;05 Canarias;Total;2010;2118519
Total;05 Canarias;Total;2009;2103992
