Nacional;Comunidades y Ciudades Autonomas;Sexo;Periodo;Total
Total;14 Murcia, Regi?n de;Mujeres;2006;673279
Total;14 Murcia, Regi?n de;Mujeres;2005;658743
Total;14 Murcia, Regi?n de;Mujeres;2004;642637
Total;14 Murcia, Regi?n de;Mujeres;2003;629435
Total;14 Murcia, Regi?n de;Mujeres;2002;610757
Total;14 Murcia, Regi?n de;Mujeres;2001;594621
Total;14 Murcia, Regi?n de;Mujeres;2000;579203
Total;14 Murcia, Regi?n de;Mujeres;1999;571240
Total;14 Murcia, Regi?n de;Mujeres;1998;563725
Total;14 Murcia, Regi?n de;Mujeres;1997;""
Total;14 Murcia, Regi?n de;Mujeres;1996;556180
Total;15 Navarra, Comunidad Foral de;Total;2021;661537
Total;15 Navarra, Comunidad Foral de;Total;2020;661197
Total;15 Navarra, Comunidad Foral de;Total;2019;654214
Total;15 Navarra, Comunidad Foral de;Total;2018;647554
Total;15 Navarra, Comunidad Foral de;Total;2017;643234
Total;15 Navarra, Comunidad Foral de;Total;2016;640647
Total;15 Navarra, Comunidad Foral de;Total;2015;640476
Total;15 Navarra, Comunidad Foral de;Total;2014;640790
Total;15 Navarra, Comunidad Foral de;Total;2013;644477
Total;15 Navarra, Comunidad Foral de;Total;2012;644566
Total;15 Navarra, Comunidad Foral de;Total;2011;642051
Total;15 Navarra, Comunidad Foral de;Total;2010;636924
Total;15 Navarra, Comunidad Foral de;Total;2009;630578
Total;15 Navarra, Comunidad Foral de;Total;2008;620377
Total;15 Navarra, Comunidad Foral de;Total;2007;605876
Total;15 Navarra, Comunidad Foral de;Total;2006;601874
Total;15 Navarra, Comunidad Foral de;Total;2005;593472
Total;15 Navarra, Comunidad Foral de;Total;2004;584734
Total;15 Navarra, Comunidad Foral de;Total;2003;578210
Total;15 Navarra, Comunidad Foral de;Total;2002;569628
Total;15 Navarra, Comunidad Foral de;Total;2001;556263
Total;15 Navarra, Comunidad Foral de;Total;2000;543757
Total;15 Navarra, Comunidad Foral de;Total;1999;538009
Total;15 Navarra, Comunidad Foral de;Total;1998;530819
Total;15 Navarra, Comunidad Foral de;Total;1997;""
Total;15 Navarra, Comunidad Foral de;Total;1996;520574
Total;15 Navarra, Comunidad Foral de;Hombres;2021;327465
Total;15 Navarra, Comunidad Foral de;Hombres;2020;327226
Total;15 Navarra, Comunidad Foral de;Hombres;2019;323631
Total;15 Navarra, Comunidad Foral de;Hombres;2018;320469
Total;15 Navarra, Comunidad Foral de;Hombres;2017;318671
Total;15 Navarra, Comunidad Foral de;Hombres;2016;317840
Total;15 Navarra, Comunidad Foral de;Hombres;2015;317885
Total;15 Navarra, Comunidad Foral de;Hombres;2014;318486
Total;15 Navarra, Comunidad Foral de;Hombres;2013;320933
Total;15 Navarra, Comunidad Foral de;Hombres;2012;321453
Total;15 Navarra, Comunidad Foral de;Hombres;2011;320656
Total;15 Navarra, Comunidad Foral de;Hombres;2010;318423
Total;15 Navarra, Comunidad Foral de;Hombres;2009;315486
Total;15 Navarra, Comunidad Foral de;Hombres;2008;310282
Total;15 Navarra, Comunidad Foral de;Hombres;2007;302330
Total;15 Navarra, Comunidad Foral de;Hombres;2006;300917
Total;15 Navarra, Comunidad Foral de;Hombres;2005;296587
Total;15 Navarra, Comunidad Foral de;Hombres;2004;292059
Total;15 Navarra, Comunidad Foral de;Hombres;2003;288991
Total;15 Navarra, Comunidad Foral de;Hombres;2002;284620
Total;15 Navarra, Comunidad Foral de;Hombres;2001;277118
Total;15 Navarra, Comunidad Foral de;Hombres;2000;269826
Total;15 Navarra, Comunidad Foral de;Hombres;1999;266711
Total;15 Navarra, Comunidad Foral de;Hombres;1998;262687
Total;15 Navarra, Comunidad Foral de;Hombres;1997;""
Total;15 Navarra, Comunidad Foral de;Hombres;1996;257718
Total;15 Navarra, Comunidad Foral de;Mujeres;2021;334072
Total;15 Navarra, Comunidad Foral de;Mujeres;2020;333971
Total;15 Navarra, Comunidad Foral de;Mujeres;2019;330583
Total;15 Navarra, Comunidad Foral de;Mujeres;2018;327085
Total;15 Navarra, Comunidad Foral de;Mujeres;2017;324563
Total;15 Navarra, Comunidad Foral de;Mujeres;2016;322807
Total;15 Navarra, Comunidad Foral de;Mujeres;2015;322591
Total;15 Navarra, Comunidad Foral de;Mujeres;2014;322304
Total;15 Navarra, Comunidad Foral de;Mujeres;2013;323544
Total;15 Navarra, Comunidad Foral de;Mujeres;2012;323113
Total;15 Navarra, Comunidad Foral de;Mujeres;2011;321395
Total;15 Navarra, Comunidad Foral de;Mujeres;2010;318501
Total;15 Navarra, Comunidad Foral de;Mujeres;2009;315092
Total;15 Navarra, Comunidad Foral de;Mujeres;2008;310095
Total;15 Navarra, Comunidad Foral de;Mujeres;2007;303546
Total;15 Navarra, Comunidad Foral de;Mujeres;2006;300957
Total;15 Navarra, Comunidad Foral de;Mujeres;2005;296885
Total;15 Navarra, Comunidad Foral de;Mujeres;2004;292675
Total;15 Navarra, Comunidad Foral de;Mujeres;2003;289219
Total;15 Navarra, Comunidad Foral de;Mujeres;2002;285008
Total;15 Navarra, Comunidad Foral de;Mujeres;2001;279145
Total;15 Navarra, Comunidad Foral de;Mujeres;2000;273931
Total;15 Navarra, Comunidad Foral de;Mujeres;1999;271298
Total;15 Navarra, Comunidad Foral de;Mujeres;1998;268132
Total;15 Navarra, Comunidad Foral de;Mujeres;1997;""
Total;15 Navarra, Comunidad Foral de;Mujeres;1996;262856
Total;16 Pa?s Vasco;Total;2021;2213993
Total;16 Pa?s Vasco;Total;2020;2220504
Total;16 Pa?s Vasco;Total;2019;2207776
Total;16 Pa?s Vasco;Total;2018;2199088
Total;16 Pa?s Vasco;Total;2017;2194158
Total;16 Pa?s Vasco;Total;2016;2189534
Total;16 Pa?s Vasco;Total;2015;2189257
Total;16 Pa?s Vasco;Total;2014;2188985
Total;16 Pa?s Vasco;Total;2013;2191682
Total;16 Pa?s Vasco;Total;2012;2193093
Total;16 Pa?s Vasco;Total;2011;2184606
Total;16 Pa?s Vasco;Total;2010;2178339
Total;16 Pa?s Vasco;Total;2009;2172175
Total;16 Pa?s Vasco;Total;2008;2157112
Total;16 Pa?s Vasco;Total;2007;2141860
Total;16 Pa?s Vasco;Total;2006;2133684
Total;16 Pa?s Vasco;Total;2005;2124846
Total;16 Pa?s Vasco;Total;2004;2115279
Total;16 Pa?s Vasco;Total;2003;2112204
Total;16 Pa?s Vasco;Total;2002;2108281
Total;16 Pa?s Vasco;Total;2001;2101478
Total;16 Pa?s Vasco;Total;2000;2098596
Total;16 Pa?s Vasco;Total;1999;2100441
Total;16 Pa?s Vasco;Total;1998;2098628
Total;16 Pa?s Vasco;Total;1997;""
Total;16 Pa?s Vasco;Total;1996;2098055
Total;16 Pa?s Vasco;Hombres;2021;1076385
Total;16 Pa?s Vasco;Hombres;2020;1079452
Total;16 Pa?s Vasco;Hombres;2019;1073074
Total;16 Pa?s Vasco;Hombres;2018;1068750
Total;16 Pa?s Vasco;Hombres;2017;1066905
Total;16 Pa?s Vasco;Hombres;2016;1065580
Total;16 Pa?s Vasco;Hombres;2015;1065925
Total;16 Pa?s Vasco;Hombres;2014;1066369
Total;16 Pa?s Vasco;Hombres;2013;1068746
Total;16 Pa?s Vasco;Hombres;2012;1070438
Total;16 Pa?s Vasco;Hombres;2011;1066872
Total;16 Pa?s Vasco;Hombres;2010;1064708
Total;16 Pa?s Vasco;Hombres;2009;1062412
Total;16 Pa?s Vasco;Hombres;2008;1055150
Total;16 Pa?s Vasco;Hombres;2007;1046795
Total;16 Pa?s Vasco;Hombres;2006;1043849
Total;16 Pa?s Vasco;Hombres;2005;1040525
Total;16 Pa?s Vasco;Hombres;2004;1035863
Total;16 Pa?s Vasco;Hombres;2003;1034326
Total;16 Pa?s Vasco;Hombres;2002;1032209
Total;16 Pa?s Vasco;Hombres;2001;1028392
Total;16 Pa?s Vasco;Hombres;2000;1026651
Total;16 Pa?s Vasco;Hombres;1999;1028146
Total;16 Pa?s Vasco;Hombres;1998;1026915
Total;16 Pa?s Vasco;Hombres;1997;""
Total;16 Pa?s Vasco;Hombres;1996;1027114
Total;16 Pa?s Vasco;Mujeres;2021;1137608
Total;16 Pa?s Vasco;Mujeres;2020;1141052
Total;16 Pa?s Vasco;Mujeres;2019;1134702
Total;16 Pa?s Vasco;Mujeres;2018;1130338
Total;16 Pa?s Vasco;Mujeres;2017;1127253
Total;16 Pa?s Vasco;Mujeres;2016;1123954
Total;16 Pa?s Vasco;Mujeres;2015;1123332
Total;16 Pa?s Vasco;Mujeres;2014;1122616
Total;16 Pa?s Vasco;Mujeres;2013;1122936
Total;16 Pa?s Vasco;Mujeres;2012;1122655
Total;16 Pa?s Vasco;Mujeres;2011;1117734
Total;16 Pa?s Vasco;Mujeres;2010;1113631
Total;16 Pa?s Vasco;Mujeres;2009;1109763
Total;16 Pa?s Vasco;Mujeres;2008;1101962
Total;16 Pa?s Vasco;Mujeres;2007;1095065
Total;16 Pa?s Vasco;Mujeres;2006;1089835
Total;16 Pa?s Vasco;Mujeres;2005;1084321
Total;16 Pa?s Vasco;Mujeres;2004;1079416
Total;16 Pa?s Vasco;Mujeres;2003;1077878
Total;16 Pa?s Vasco;Mujeres;2002;1076072
Total;16 Pa?s Vasco;Mujeres;2001;1073086
Total;16 Pa?s Vasco;Mujeres;2000;1071945
Total;16 Pa?s Vasco;Mujeres;1999;1072295
Total;16 Pa?s Vasco;Mujeres;1998;1071713
Total;16 Pa?s Vasco;Mujeres;1997;""
Total;16 Pa?s Vasco;Mujeres;1996;1070941
Total;17 Rioja, La;Total;2021;319796
Total;17 Rioja, La;Total;2020;319914
Total;17 Rioja, La;Total;2019;316798
Total;17 Rioja, La;Total;2018;315675
Total;17 Rioja, La;Total;2017;315381
Total;17 Rioja, La;Total;2016;315794
Total;17 Rioja, La;Total;2015;317053
Total;17 Rioja, La;Total;2014;319002
Total;17 Rioja, La;Total;2013;322027
Total;17 Rioja, La;Total;2012;323609
Total;17 Rioja, La;Total;2011;322955
Total;17 Rioja, La;Total;2010;322415
Total;17 Rioja, La;Total;2009;321702
Total;17 Rioja, La;Total;2008;317501
Total;17 Rioja, La;Total;2007;308968
Total;17 Rioja, La;Total;2006;306377
Total;17 Rioja, La;Total;2005;301084
Total;17 Rioja, La;Total;2004;293553
Total;17 Rioja, La;Total;2003;287390
Total;17 Rioja, La;Total;2002;281614
Total;17 Rioja, La;Total;2001;270400
Total;17 Rioja, La;Total;2000;264178
Total;17 Rioja, La;Total;1999;265178
Total;17 Rioja, La;Total;1998;263644
Total;17 Rioja, La;Total;1997;""
Total;17 Rioja, La;Total;1996;264941
Total;17 Rioja, La;Hombres;2021;157823
Total;17 Rioja, La;Hombres;2020;157835
Total;17 Rioja, La;Hombres;2019;156179
Total;17 Rioja, La;Hombres;2018;155758
Total;17 Rioja, La;Hombres;2017;155508
Total;17 Rioja, La;Hombres;2016;155969
Total;17 Rioja, La;Hombres;2015;156733
Total;17 Rioja, La;Hombres;2014;158090
Total;17 Rioja, La;Hombres;2013;160159
Total;17 Rioja, La;Hombres;2012;161574
Total;17 Rioja, La;Hombres;2011;161582
Total;17 Rioja, La;Hombres;2010;161884
Total;17 Rioja, La;Hombres;2009;162173
Total;17 Rioja, La;Hombres;2008;160342
Total;17 Rioja, La;Hombres;2007;155773
Total;17 Rioja, La;Hombres;2006;154556
Total;17 Rioja, La;Hombres;2005;151730
Total;17 Rioja, La;Hombres;2004;147214
Total;17 Rioja, La;Hombres;2003;143995
Total;17 Rioja, La;Hombres;2002;140780
Total;17 Rioja, La;Hombres;2001;134506
Total;17 Rioja, La;Hombres;2000;130956
Total;17 Rioja, La;Hombres;1999;131518
Total;17 Rioja, La;Hombres;1998;130708
Total;17 Rioja, La;Hombres;1997;""
Total;17 Rioja, La;Hombres;1996;131183
Total;17 Rioja, La;Mujeres;2021;161973
Total;17 Rioja, La;Mujeres;2020;162079
Total;17 Rioja, La;Mujeres;2019;160619
Total;17 Rioja, La;Mujeres;2018;159917
Total;17 Rioja, La;Mujeres;2017;159873
Total;17 Rioja, La;Mujeres;2016;159825
Total;17 Rioja, La;Mujeres;2015;160320
Total;17 Rioja, La;Mujeres;2014;160912
Total;17 Rioja, La;Mujeres;2013;161868
Total;17 Rioja, La;Mujeres;2012;162035
Total;17 Rioja, La;Mujeres;2011;161373
Total;17 Rioja, La;Mujeres;2010;160531
Total;17 Rioja, La;Mujeres;2009;159529
Total;17 Rioja, La;Mujeres;2008;157159
Total;17 Rioja, La;Mujeres;2007;153195
Total;17 Rioja, La;Mujeres;2006;151821
Total;17 Rioja, La;Mujeres;2005;149354
Total;17 Rioja, La;Mujeres;2004;146339
Total;17 Rioja, La;Mujeres;2003;143395
Total;17 Rioja, La;Mujeres;2002;140834
Total;17 Rioja, La;Mujeres;2001;135894
Total;17 Rioja, La;Mujeres;2000;133222
Total;17 Rioja, La;Mujeres;1999;133660
Total;17 Rioja, La;Mujeres;1998;132936
Total;17 Rioja, La;Mujeres;1997;""
Total;17 Rioja, La;Mujeres;1996;133758
Total;18 Ceuta;Total;2021;83517
Total;18 Ceuta;Total;2020;84202
Total;18 Ceuta;Total;2019;84777
Total;18 Ceuta;Total;2018;85144
Total;18 Ceuta;Total;2017;84959
Total;18 Ceuta;Total;2016;84519
Total;18 Ceuta;Total;2015;84263
Total;18 Ceuta;Total;2014;84963
Total;18 Ceuta;Total;2013;84180
Total;18 Ceuta;Total;2012;84018
Total;18 Ceuta;Total;2011;82376
Total;18 Ceuta;Total;2010;80579
Total;18 Ceuta;Total;2009;78674
Total;18 Ceuta;Total;2008;77389
Total;18 Ceuta;Total;2007;76603
Total;18 Ceuta;Total;2006;75861
Total;18 Ceuta;Total;2005;75276
Total;18 Ceuta;Total;2004;74654
Total;18 Ceuta;Total;2003;74931
Total;18 Ceuta;Total;2002;76152
Total;18 Ceuta;Total;2001;75694
Total;18 Ceuta;Total;2000;75241
Total;18 Ceuta;Total;1999;73704
Total;18 Ceuta;Total;1998;72117
Total;18 Ceuta;Total;1997;""
Total;18 Ceuta;Total;1996;68796
Total;18 Ceuta;Hombres;2021;42208
Total;18 Ceuta;Hombres;2020;42542
Total;18 Ceuta;Hombres;2019;42912
Total;18 Ceuta;Hombres;2018;43177
Total;18 Ceuta;Hombres;2017;43034
Total;18 Ceuta;Hombres;2016;42846
Total;18 Ceuta;Hombres;2015;42757
Total;18 Ceuta;Hombres;2014;43354
Total;18 Ceuta;Hombres;2013;43060
Total;18 Ceuta;Hombres;2012;42948
Total;18 Ceuta;Hombres;2011;42165
Total;18 Ceuta;Hombres;2010;41269
Total;18 Ceuta;Hombres;2009;40118
Total;18 Ceuta;Hombres;2008;39385
Total;18 Ceuta;Hombres;2007;38913
Total;18 Ceuta;Hombres;2006;38581
Total;18 Ceuta;Hombres;2005;38315
Total;18 Ceuta;Hombres;2004;38113
Total;18 Ceuta;Hombres;2003;38395
Total;18 Ceuta;Hombres;2002;39195
Total;18 Ceuta;Hombres;2001;38884
Total;18 Ceuta;Hombres;2000;38497
Total;18 Ceuta;Hombres;1999;37115
Total;18 Ceuta;Hombres;1998;36102
Total;18 Ceuta;Hombres;1997;""
Total;18 Ceuta;Hombres;1996;34229
Total;18 Ceuta;Mujeres;2021;41309
Total;18 Ceuta;Mujeres;2020;41660
Total;18 Ceuta;Mujeres;2019;41865
Total;18 Ceuta;Mujeres;2018;41967
Total;18 Ceuta;Mujeres;2017;41925
Total;18 Ceuta;Mujeres;2016;41673
Total;18 Ceuta;Mujeres;2015;41506
Total;18 Ceuta;Mujeres;2014;41609
Total;18 Ceuta;Mujeres;2013;41120
Total;18 Ceuta;Mujeres;2012;41070
Total;18 Ceuta;Mujeres;2011;40211
Total;18 Ceuta;Mujeres;2010;39310
Total;18 Ceuta;Mujeres;2009;38556
Total;18 Ceuta;Mujeres;2008;38004
Total;18 Ceuta;Mujeres;2007;37690
Total;18 Ceuta;Mujeres;2006;37280
Total;18 Ceuta;Mujeres;2005;36961
Total;18 Ceuta;Mujeres;2004;36541
Total;18 Ceuta;Mujeres;2003;36536
Total;18 Ceuta;Mujeres;2002;36957
Total;18 Ceuta;Mujeres;2001;36810
Total;18 Ceuta;Mujeres;2000;36744
Total;18 Ceuta;Mujeres;1999;36589
Total;18 Ceuta;Mujeres;1998;36015
Total;18 Ceuta;Mujeres;1997;""
Total;18 Ceuta;Mujeres;1996;34567
Total;19 Melilla;Total;2021;86261
Total;19 Melilla;Total;2020;87076
Total;19 Melilla;Total;2019;86487
Total;19 Melilla;Total;2018;86384
Total;19 Melilla;Total;2017;86120
Total;19 Melilla;Total;2016;86026
Total;19 Melilla;Total;2015;85584
Total;19 Melilla;Total;2014;84509
Total;19 Melilla;Total;2013;83679
Total;19 Melilla;Total;2012;80802
Total;19 Melilla;Total;2011;78476
Total;19 Melilla;Total;2010;76034
Total;19 Melilla;Total;2009;73460
Total;19 Melilla;Total;2008;71448
Total;19 Melilla;Total;2007;69440
Total;19 Melilla;Total;2006;66871
Total;19 Melilla;Total;2005;65488
Total;19 Melilla;Total;2004;68016
Total;19 Melilla;Total;2003;68463
Total;19 Melilla;Total;2002;69184
Total;19 Melilla;Total;2001;68789
Total;19 Melilla;Total;2000;66263
Total;19 Melilla;Total;1999;56929
Total;19 Melilla;Total;1998;60108
Total;19 Melilla;Total;1997;""
Total;19 Melilla;Total;1996;59576
Total;19 Melilla;Hombres;2021;43603
Total;19 Melilla;Hombres;2020;44162
Total;19 Melilla;Hombres;2019;43894
Total;19 Melilla;Hombres;2018;43765
Total;19 Melilla;Hombres;2017;43629
Total;19 Melilla;Hombres;2016;43768
Total;19 Melilla;Hombres;2015;43593
Total;19 Melilla;Hombres;2014;43075
Total;19 Melilla;Hombres;2013;43017
Total;19 Melilla;Hombres;2012;41569
Total;19 Melilla;Hombres;2011;40256
Total;19 Melilla;Hombres;2010;38819
Total;19 Melilla;Hombres;2009;37244
Total;19 Melilla;Hombres;2008;36336
Total;19 Melilla;Hombres;2007;35208
Total;19 Melilla;Hombres;2006;33962
Total;19 Melilla;Hombres;2005;33322
Total;19 Melilla;Hombres;2004;34455
Total;19 Melilla;Hombres;2003;34737
Total;19 Melilla;Hombres;2002;35178
Total;19 Melilla;Hombres;2001;35027
Total;19 Melilla;Hombres;2000;33976
Total;19 Melilla;Hombres;1999;28952
Total;19 Melilla;Hombres;1998;30569
Total;19 Melilla;Hombres;1997;""
Total;19 Melilla;Hombres;1996;29647
Total;19 Melilla;Mujeres;2021;42658
Total;19 Melilla;Mujeres;2020;42914
Total;19 Melilla;Mujeres;2019;42593
Total;19 Melilla;Mujeres;2018;42619
Total;19 Melilla;Mujeres;2017;42491
Total;19 Melilla;Mujeres;2016;42258
Total;19 Melilla;Mujeres;2015;41991
Total;19 Melilla;Mujeres;2014;41434
Total;19 Melilla;Mujeres;2013;40662
Total;19 Melilla;Mujeres;2012;39233
Total;19 Melilla;Mujeres;2011;38220
Total;19 Melilla;Mujeres;2010;37215
Total;19 Melilla;Mujeres;2009;36216
Total;19 Melilla;Mujeres;2008;35112
Total;19 Melilla;Mujeres;2007;34232
Total;19 Melilla;Mujeres;2006;32909
Total;19 Melilla;Mujeres;2005;32166
Total;19 Melilla;Mujeres;2004;33561
Total;19 Melilla;Mujeres;2003;33726
Total;19 Melilla;Mujeres;2002;34006
Total;19 Melilla;Mujeres;2001;33762
Total;19 Melilla;Mujeres;2000;32287
Total;19 Melilla;Mujeres;1999;27977
Total;19 Melilla;Mujeres;1998;29539
Total;19 Melilla;Mujeres;1997;""
Total;19 Melilla;Mujeres;1996;29929
