Clase de disolución;Comunidades y Ciudades Autónomas;Periodo;Total
Total;01 Andalucía;2016M10;220
Total;01 Andalucía;2016M09;184
Total;01 Andalucía;2016M08;168
Total;01 Andalucía;2016M07;239
Total;01 Andalucía;2016M06;285
Total;01 Andalucía;2016M05;221
Total;01 Andalucía;2016M04;234
Total;01 Andalucía;2016M03;304
Total;01 Andalucía;2016M02;305
Total;01 Andalucía;2016M01;400
Total;01 Andalucía;2015M12;317
Total;01 Andalucía;2015M11;256
Total;01 Andalucía;2015M10;192
Total;01 Andalucía;2015M09;200
Total;01 Andalucía;2015M08;172
Total;01 Andalucía;2015M07;170
Total;01 Andalucía;2015M06;185
Total;01 Andalucía;2015M05;219
Total;01 Andalucía;2015M04;230
Total;01 Andalucía;2015M03;269
Total;01 Andalucía;2015M02;262
Total;01 Andalucía;2015M01;449
Total;01 Andalucía;2014M12;299
Total;01 Andalucía;2014M11;258
Total;01 Andalucía;2014M10;252
Total;01 Andalucía;2014M09;216
Total;01 Andalucía;2014M08;176
Total;01 Andalucía;2014M07;256
Total;01 Andalucía;2014M06;211
Total;01 Andalucía;2014M05;215
Total;01 Andalucía;2014M04;261
Total;01 Andalucía;2014M03;297
Total;01 Andalucía;2014M02;288
Total;01 Andalucía;2014M01;443
Total;01 Andalucía;2013M12;357
Total;01 Andalucía;2013M11;341
Total;01 Andalucía;2013M10;299
Total;01 Andalucía;2013M09;232
Total;01 Andalucía;2013M08;210
Total;01 Andalucía;2013M07;243
Total;01 Andalucía;2013M06;223
Total;01 Andalucía;2013M05;304
Total;01 Andalucía;2013M04;327
Total;01 Andalucía;2013M03;272
Total;01 Andalucía;2013M02;340
Total;01 Andalucía;2013M01;536
Total;01 Andalucía;2012M12;347
Total;01 Andalucía;2012M11;273
Total;01 Andalucía;2012M10;242
Total;01 Andalucía;2012M09;178
Total;01 Andalucía;2012M08;211
Total;01 Andalucía;2012M07;196
Total;01 Andalucía;2012M06;223
Total;01 Andalucía;2012M05;233
Total;01 Andalucía;2012M04;222
Total;01 Andalucía;2012M03;313
Total;01 Andalucía;2012M02;369
Total;01 Andalucía;2012M01;473
Total;01 Andalucía;2011M12;349
Total;01 Andalucía;2011M11;228
Total;01 Andalucía;2011M10;223
Total;01 Andalucía;2011M09;226
