Clase de disolución;Comunidades y Ciudades Autónomas;Periodo;Total
Voluntaria;09 Cataluña;2004M06;""
Voluntaria;09 Cataluña;2004M05;""
Voluntaria;09 Cataluña;2004M04;""
Voluntaria;09 Cataluña;2004M03;""
Voluntaria;09 Cataluña;2004M02;""
Voluntaria;09 Cataluña;2004M01;""
Voluntaria;09 Cataluña;2003M12;""
Voluntaria;09 Cataluña;2003M11;""
Voluntaria;09 Cataluña;2003M10;""
Voluntaria;09 Cataluña;2003M09;""
Voluntaria;09 Cataluña;2003M08;""
Voluntaria;09 Cataluña;2003M07;""
Voluntaria;09 Cataluña;2003M06;""
Voluntaria;09 Cataluña;2003M05;""
Voluntaria;09 Cataluña;2003M04;""
Voluntaria;09 Cataluña;2003M03;""
Voluntaria;09 Cataluña;2003M02;""
Voluntaria;09 Cataluña;2003M01;""
Voluntaria;09 Cataluña;2002M12;""
Voluntaria;09 Cataluña;2002M11;""
Voluntaria;09 Cataluña;2002M10;""
Voluntaria;09 Cataluña;2002M09;""
Voluntaria;09 Cataluña;2002M08;""
Voluntaria;09 Cataluña;2002M07;""
Voluntaria;09 Cataluña;2002M06;""
Voluntaria;09 Cataluña;2002M05;""
Voluntaria;09 Cataluña;2002M04;""
Voluntaria;09 Cataluña;2002M03;""
Voluntaria;09 Cataluña;2002M02;""
Voluntaria;09 Cataluña;2002M01;""
Voluntaria;09 Cataluña;2001M12;""
Voluntaria;09 Cataluña;2001M11;""
Voluntaria;09 Cataluña;2001M10;""
Voluntaria;09 Cataluña;2001M09;""
Voluntaria;09 Cataluña;2001M08;""
Voluntaria;09 Cataluña;2001M07;""
Voluntaria;09 Cataluña;2001M06;""
Voluntaria;09 Cataluña;2001M05;""
Voluntaria;09 Cataluña;2001M04;""
Voluntaria;09 Cataluña;2001M03;""
Voluntaria;09 Cataluña;2001M02;""
Voluntaria;09 Cataluña;2001M01;""
Voluntaria;09 Cataluña;2000M12;""
Voluntaria;09 Cataluña;2000M11;""
Voluntaria;09 Cataluña;2000M10;""
Voluntaria;09 Cataluña;2000M09;""
Voluntaria;09 Cataluña;2000M08;""
Voluntaria;09 Cataluña;2000M07;""
Voluntaria;09 Cataluña;2000M06;""
Voluntaria;09 Cataluña;2000M05;""
Voluntaria;09 Cataluña;2000M04;""
Voluntaria;09 Cataluña;2000M03;""
Voluntaria;09 Cataluña;2000M02;""
Voluntaria;09 Cataluña;2000M01;""
Voluntaria;09 Cataluña;1999M12;""
Voluntaria;09 Cataluña;1999M11;""
Voluntaria;09 Cataluña;1999M10;""
Voluntaria;09 Cataluña;1999M09;""
Voluntaria;09 Cataluña;1999M08;""
Voluntaria;09 Cataluña;1999M07;""
Voluntaria;09 Cataluña;1999M06;""
Voluntaria;09 Cataluña;1999M05;""
Voluntaria;09 Cataluña;1999M04;""
Voluntaria;09 Cataluña;1999M03;""
Voluntaria;09 Cataluña;1999M02;""
Voluntaria;09 Cataluña;1999M01;""
Voluntaria;09 Cataluña;1998M12;""
Voluntaria;09 Cataluña;1998M11;""
Voluntaria;09 Cataluña;1998M10;""
Voluntaria;09 Cataluña;1998M09;""
Voluntaria;09 Cataluña;1998M08;""
Voluntaria;09 Cataluña;1998M07;""
Voluntaria;09 Cataluña;1998M06;""
Voluntaria;09 Cataluña;1998M05;""
Voluntaria;09 Cataluña;1998M04;""
Voluntaria;09 Cataluña;1998M03;""
Voluntaria;09 Cataluña;1998M02;""
Voluntaria;09 Cataluña;1998M01;""
Voluntaria;09 Cataluña;1997M12;""
Voluntaria;09 Cataluña;1997M11;""
Voluntaria;09 Cataluña;1997M10;""
Voluntaria;09 Cataluña;1997M09;""
Voluntaria;09 Cataluña;1997M08;""
Voluntaria;09 Cataluña;1997M07;""
Voluntaria;09 Cataluña;1997M06;""
Voluntaria;09 Cataluña;1997M05;""
Voluntaria;09 Cataluña;1997M04;""
Voluntaria;09 Cataluña;1997M03;""
Voluntaria;09 Cataluña;1997M02;""
Voluntaria;09 Cataluña;1997M01;""
Voluntaria;09 Cataluña;1996M12;""
Voluntaria;09 Cataluña;1996M11;""
Voluntaria;09 Cataluña;1996M10;""
Voluntaria;09 Cataluña;1996M09;""
Voluntaria;09 Cataluña;1996M08;""
Voluntaria;09 Cataluña;1996M07;""
Voluntaria;09 Cataluña;1996M06;""
Voluntaria;09 Cataluña;1996M05;""
Voluntaria;09 Cataluña;1996M04;""
Voluntaria;09 Cataluña;1996M03;""
Voluntaria;09 Cataluña;1996M02;""
Voluntaria;09 Cataluña;1996M01;""
Voluntaria;09 Cataluña;1995M12;""
Voluntaria;09 Cataluña;1995M11;""
Voluntaria;09 Cataluña;1995M10;""
Voluntaria;09 Cataluña;1995M09;""
Voluntaria;09 Cataluña;1995M08;""
Voluntaria;09 Cataluña;1995M07;""
Voluntaria;09 Cataluña;1995M06;""
Voluntaria;09 Cataluña;1995M05;""
Voluntaria;09 Cataluña;1995M04;""
Voluntaria;09 Cataluña;1995M03;""
Voluntaria;09 Cataluña;1995M02;""
Voluntaria;09 Cataluña;1995M01;""
Voluntaria;10 Comunitat Valenciana;2025M05;121
Voluntaria;10 Comunitat Valenciana;2025M04;101
Voluntaria;10 Comunitat Valenciana;2025M03;106
Voluntaria;10 Comunitat Valenciana;2025M02;134
Voluntaria;10 Comunitat Valenciana;2025M01;255
Voluntaria;10 Comunitat Valenciana;2024M12;155
Voluntaria;10 Comunitat Valenciana;2024M11;140
Voluntaria;10 Comunitat Valenciana;2024M10;106
Voluntaria;10 Comunitat Valenciana;2024M09;92
Voluntaria;10 Comunitat Valenciana;2024M08;62
Voluntaria;10 Comunitat Valenciana;2024M07;58
Voluntaria;10 Comunitat Valenciana;2024M06;70
Voluntaria;10 Comunitat Valenciana;2024M05;76
Voluntaria;10 Comunitat Valenciana;2024M04;112
Voluntaria;10 Comunitat Valenciana;2024M03;108
Voluntaria;10 Comunitat Valenciana;2024M02;135
Voluntaria;10 Comunitat Valenciana;2024M01;242
Voluntaria;10 Comunitat Valenciana;2023M12;130
Voluntaria;10 Comunitat Valenciana;2023M11;115
Voluntaria;10 Comunitat Valenciana;2023M10;90
Voluntaria;10 Comunitat Valenciana;2023M09;73
Voluntaria;10 Comunitat Valenciana;2023M08;68
Voluntaria;10 Comunitat Valenciana;2023M07;70
Voluntaria;10 Comunitat Valenciana;2023M06;88
Voluntaria;10 Comunitat Valenciana;2023M05;116
Voluntaria;10 Comunitat Valenciana;2023M04;79
Voluntaria;10 Comunitat Valenciana;2023M03;127
Voluntaria;10 Comunitat Valenciana;2023M02;162
Voluntaria;10 Comunitat Valenciana;2023M01;269
Voluntaria;10 Comunitat Valenciana;2022M12;186
Voluntaria;10 Comunitat Valenciana;2022M11;159
Voluntaria;10 Comunitat Valenciana;2022M10;76
Voluntaria;10 Comunitat Valenciana;2022M09;69
Voluntaria;10 Comunitat Valenciana;2022M08;81
Voluntaria;10 Comunitat Valenciana;2022M07;98
Voluntaria;10 Comunitat Valenciana;2022M06;68
Voluntaria;10 Comunitat Valenciana;2022M05;88
Voluntaria;10 Comunitat Valenciana;2022M04;77
Voluntaria;10 Comunitat Valenciana;2022M03;120
Voluntaria;10 Comunitat Valenciana;2022M02;112
Voluntaria;10 Comunitat Valenciana;2022M01;305
Voluntaria;10 Comunitat Valenciana;2021M12;138
Voluntaria;10 Comunitat Valenciana;2021M11;139
Voluntaria;10 Comunitat Valenciana;2021M10;88
Voluntaria;10 Comunitat Valenciana;2021M09;89
Voluntaria;10 Comunitat Valenciana;2021M08;80
Voluntaria;10 Comunitat Valenciana;2021M07;73
Voluntaria;10 Comunitat Valenciana;2021M06;72
Voluntaria;10 Comunitat Valenciana;2021M05;99
Voluntaria;10 Comunitat Valenciana;2021M04;98
Voluntaria;10 Comunitat Valenciana;2021M03;93
Voluntaria;10 Comunitat Valenciana;2021M02;140
Voluntaria;10 Comunitat Valenciana;2021M01;222
Voluntaria;10 Comunitat Valenciana;2020M12;160
Voluntaria;10 Comunitat Valenciana;2020M11;85
Voluntaria;10 Comunitat Valenciana;2020M10;94
Voluntaria;10 Comunitat Valenciana;2020M09;79
Voluntaria;10 Comunitat Valenciana;2020M08;63
Voluntaria;10 Comunitat Valenciana;2020M07;89
Voluntaria;10 Comunitat Valenciana;2020M06;54
Voluntaria;10 Comunitat Valenciana;2020M05;29
Voluntaria;10 Comunitat Valenciana;2020M04;30
Voluntaria;10 Comunitat Valenciana;2020M03;77
Voluntaria;10 Comunitat Valenciana;2020M02;113
Voluntaria;10 Comunitat Valenciana;2020M01;230
Voluntaria;10 Comunitat Valenciana;2019M12;144
Voluntaria;10 Comunitat Valenciana;2019M11;92
Voluntaria;10 Comunitat Valenciana;2019M10;86
Voluntaria;10 Comunitat Valenciana;2019M09;66
Voluntaria;10 Comunitat Valenciana;2019M08;58
Voluntaria;10 Comunitat Valenciana;2019M07;83
Voluntaria;10 Comunitat Valenciana;2019M06;47
Voluntaria;10 Comunitat Valenciana;2019M05;86
Voluntaria;10 Comunitat Valenciana;2019M04;101
Voluntaria;10 Comunitat Valenciana;2019M03;72
Voluntaria;10 Comunitat Valenciana;2019M02;116
Voluntaria;10 Comunitat Valenciana;2019M01;246
Voluntaria;10 Comunitat Valenciana;2018M12;133
Voluntaria;10 Comunitat Valenciana;2018M11;81
Voluntaria;10 Comunitat Valenciana;2018M10;61
Voluntaria;10 Comunitat Valenciana;2018M09;55
Voluntaria;10 Comunitat Valenciana;2018M08;72
Voluntaria;10 Comunitat Valenciana;2018M07;82
Voluntaria;10 Comunitat Valenciana;2018M06;54
Voluntaria;10 Comunitat Valenciana;2018M05;65
Voluntaria;10 Comunitat Valenciana;2018M04;70
Voluntaria;10 Comunitat Valenciana;2018M03;88
Voluntaria;10 Comunitat Valenciana;2018M02;105
Voluntaria;10 Comunitat Valenciana;2018M01;248
Voluntaria;10 Comunitat Valenciana;2017M12;133
Voluntaria;10 Comunitat Valenciana;2017M11;97
Voluntaria;10 Comunitat Valenciana;2017M10;66
Voluntaria;10 Comunitat Valenciana;2017M09;69
Voluntaria;10 Comunitat Valenciana;2017M08;50
Voluntaria;10 Comunitat Valenciana;2017M07;58
Voluntaria;10 Comunitat Valenciana;2017M06;60
Voluntaria;10 Comunitat Valenciana;2017M05;76
Voluntaria;10 Comunitat Valenciana;2017M04;51
Voluntaria;10 Comunitat Valenciana;2017M03;96
Voluntaria;10 Comunitat Valenciana;2017M02;106
Voluntaria;10 Comunitat Valenciana;2017M01;234
Voluntaria;10 Comunitat Valenciana;2016M12;113
Voluntaria;10 Comunitat Valenciana;2016M11;93
Voluntaria;10 Comunitat Valenciana;2016M10;78
Voluntaria;10 Comunitat Valenciana;2016M09;59
Voluntaria;10 Comunitat Valenciana;2016M08;55
Voluntaria;10 Comunitat Valenciana;2016M07;59
Voluntaria;10 Comunitat Valenciana;2016M06;63
Voluntaria;10 Comunitat Valenciana;2016M05;87
Voluntaria;10 Comunitat Valenciana;2016M04;84
Voluntaria;10 Comunitat Valenciana;2016M03;74
Voluntaria;10 Comunitat Valenciana;2016M02;116
Voluntaria;10 Comunitat Valenciana;2016M01;218
Voluntaria;10 Comunitat Valenciana;2015M12;122
Voluntaria;10 Comunitat Valenciana;2015M11;96
Voluntaria;10 Comunitat Valenciana;2015M10;52
Voluntaria;10 Comunitat Valenciana;2015M09;84
Voluntaria;10 Comunitat Valenciana;2015M08;67
Voluntaria;10 Comunitat Valenciana;2015M07;73
Voluntaria;10 Comunitat Valenciana;2015M06;57
Voluntaria;10 Comunitat Valenciana;2015M05;70
Voluntaria;10 Comunitat Valenciana;2015M04;66
Voluntaria;10 Comunitat Valenciana;2015M03;77
Voluntaria;10 Comunitat Valenciana;2015M02;107
Voluntaria;10 Comunitat Valenciana;2015M01;167
Voluntaria;10 Comunitat Valenciana;2014M12;128
Voluntaria;10 Comunitat Valenciana;2014M11;90
Voluntaria;10 Comunitat Valenciana;2014M10;85
Voluntaria;10 Comunitat Valenciana;2014M09;59
Voluntaria;10 Comunitat Valenciana;2014M08;66
Voluntaria;10 Comunitat Valenciana;2014M07;72
Voluntaria;10 Comunitat Valenciana;2014M06;66
Voluntaria;10 Comunitat Valenciana;2014M05;57
Voluntaria;10 Comunitat Valenciana;2014M04;68
Voluntaria;10 Comunitat Valenciana;2014M03;97
Voluntaria;10 Comunitat Valenciana;2014M02;105
Voluntaria;10 Comunitat Valenciana;2014M01;211
Voluntaria;10 Comunitat Valenciana;2013M12;123
Voluntaria;10 Comunitat Valenciana;2013M11;112
Voluntaria;10 Comunitat Valenciana;2013M10;57
Voluntaria;10 Comunitat Valenciana;2013M09;63
Voluntaria;10 Comunitat Valenciana;2013M08;74
Voluntaria;10 Comunitat Valenciana;2013M07;80
Voluntaria;10 Comunitat Valenciana;2013M06;81
Voluntaria;10 Comunitat Valenciana;2013M05;113
Voluntaria;10 Comunitat Valenciana;2013M04;90
Voluntaria;10 Comunitat Valenciana;2013M03;125
Voluntaria;10 Comunitat Valenciana;2013M02;170
Voluntaria;10 Comunitat Valenciana;2013M01;242
Voluntaria;10 Comunitat Valenciana;2012M12;140
Voluntaria;10 Comunitat Valenciana;2012M11;115
Voluntaria;10 Comunitat Valenciana;2012M10;79
Voluntaria;10 Comunitat Valenciana;2012M09;80
Voluntaria;10 Comunitat Valenciana;2012M08;73
Voluntaria;10 Comunitat Valenciana;2012M07;88
Voluntaria;10 Comunitat Valenciana;2012M06;73
Voluntaria;10 Comunitat Valenciana;2012M05;93
Voluntaria;10 Comunitat Valenciana;2012M04;80
Voluntaria;10 Comunitat Valenciana;2012M03;109
Voluntaria;10 Comunitat Valenciana;2012M02;130
Voluntaria;10 Comunitat Valenciana;2012M01;216
Voluntaria;10 Comunitat Valenciana;2011M12;102
Voluntaria;10 Comunitat Valenciana;2011M11;120
Voluntaria;10 Comunitat Valenciana;2011M10;70
Voluntaria;10 Comunitat Valenciana;2011M09;76
Voluntaria;10 Comunitat Valenciana;2011M08;60
Voluntaria;10 Comunitat Valenciana;2011M07;68
Voluntaria;10 Comunitat Valenciana;2011M06;81
Voluntaria;10 Comunitat Valenciana;2011M05;103
Voluntaria;10 Comunitat Valenciana;2011M04;53
Voluntaria;10 Comunitat Valenciana;2011M03;98
Voluntaria;10 Comunitat Valenciana;2011M02;151
Voluntaria;10 Comunitat Valenciana;2011M01;197
Voluntaria;10 Comunitat Valenciana;2010M12;161
Voluntaria;10 Comunitat Valenciana;2010M11;78
Voluntaria;10 Comunitat Valenciana;2010M10;68
Voluntaria;10 Comunitat Valenciana;2010M09;74
Voluntaria;10 Comunitat Valenciana;2010M08;63
Voluntaria;10 Comunitat Valenciana;2010M07;85
Voluntaria;10 Comunitat Valenciana;2010M06;80
Voluntaria;10 Comunitat Valenciana;2010M05;81
Voluntaria;10 Comunitat Valenciana;2010M04;92
Voluntaria;10 Comunitat Valenciana;2010M03;128
Voluntaria;10 Comunitat Valenciana;2010M02;139
Voluntaria;10 Comunitat Valenciana;2010M01;204
Voluntaria;10 Comunitat Valenciana;2009M12;161
Voluntaria;10 Comunitat Valenciana;2009M11;129
Voluntaria;10 Comunitat Valenciana;2009M10;73
Voluntaria;10 Comunitat Valenciana;2009M09;73
Voluntaria;10 Comunitat Valenciana;2009M08;75
Voluntaria;10 Comunitat Valenciana;2009M07;76
Voluntaria;10 Comunitat Valenciana;2009M06;76
Voluntaria;10 Comunitat Valenciana;2009M05;83
Voluntaria;10 Comunitat Valenciana;2009M04;57
Voluntaria;10 Comunitat Valenciana;2009M03;117
Voluntaria;10 Comunitat Valenciana;2009M02;173
Voluntaria;10 Comunitat Valenciana;2009M01;202
Voluntaria;10 Comunitat Valenciana;2008M12;140
Voluntaria;10 Comunitat Valenciana;2008M11;125
Voluntaria;10 Comunitat Valenciana;2008M10;95
Voluntaria;10 Comunitat Valenciana;2008M09;95
Voluntaria;10 Comunitat Valenciana;2008M08;36
Voluntaria;10 Comunitat Valenciana;2008M07;77
Voluntaria;10 Comunitat Valenciana;2008M06;54
Voluntaria;10 Comunitat Valenciana;2008M05;88
Voluntaria;10 Comunitat Valenciana;2008M04;94
Voluntaria;10 Comunitat Valenciana;2008M03;81
Voluntaria;10 Comunitat Valenciana;2008M02;165
Voluntaria;10 Comunitat Valenciana;2008M01;275
Voluntaria;10 Comunitat Valenciana;2007M12;""
Voluntaria;10 Comunitat Valenciana;2007M11;""
Voluntaria;10 Comunitat Valenciana;2007M10;""
Voluntaria;10 Comunitat Valenciana;2007M09;""
Voluntaria;10 Comunitat Valenciana;2007M08;""
Voluntaria;10 Comunitat Valenciana;2007M07;""
Voluntaria;10 Comunitat Valenciana;2007M06;""
Voluntaria;10 Comunitat Valenciana;2007M05;""
Voluntaria;10 Comunitat Valenciana;2007M04;""
Voluntaria;10 Comunitat Valenciana;2007M03;""
Voluntaria;10 Comunitat Valenciana;2007M02;""
Voluntaria;10 Comunitat Valenciana;2007M01;""
Voluntaria;10 Comunitat Valenciana;2006M12;""
Voluntaria;10 Comunitat Valenciana;2006M11;""
Voluntaria;10 Comunitat Valenciana;2006M10;""
Voluntaria;10 Comunitat Valenciana;2006M09;""
Voluntaria;10 Comunitat Valenciana;2006M08;""
Voluntaria;10 Comunitat Valenciana;2006M07;""
Voluntaria;10 Comunitat Valenciana;2006M06;""
Voluntaria;10 Comunitat Valenciana;2006M05;""
Voluntaria;10 Comunitat Valenciana;2006M04;""
Voluntaria;10 Comunitat Valenciana;2006M03;""
Voluntaria;10 Comunitat Valenciana;2006M02;""
Voluntaria;10 Comunitat Valenciana;2006M01;""
Voluntaria;10 Comunitat Valenciana;2005M12;""
Voluntaria;10 Comunitat Valenciana;2005M11;""
Voluntaria;10 Comunitat Valenciana;2005M10;""
Voluntaria;10 Comunitat Valenciana;2005M09;""
Voluntaria;10 Comunitat Valenciana;2005M08;""
Voluntaria;10 Comunitat Valenciana;2005M07;""
Voluntaria;10 Comunitat Valenciana;2005M06;""
Voluntaria;10 Comunitat Valenciana;2005M05;""
Voluntaria;10 Comunitat Valenciana;2005M04;""
Voluntaria;10 Comunitat Valenciana;2005M03;""
Voluntaria;10 Comunitat Valenciana;2005M02;""
Voluntaria;10 Comunitat Valenciana;2005M01;""
Voluntaria;10 Comunitat Valenciana;2004M12;""
Voluntaria;10 Comunitat Valenciana;2004M11;""
Voluntaria;10 Comunitat Valenciana;2004M10;""
Voluntaria;10 Comunitat Valenciana;2004M09;""
Voluntaria;10 Comunitat Valenciana;2004M08;""
Voluntaria;10 Comunitat Valenciana;2004M07;""
Voluntaria;10 Comunitat Valenciana;2004M06;""
Voluntaria;10 Comunitat Valenciana;2004M05;""
Voluntaria;10 Comunitat Valenciana;2004M04;""
Voluntaria;10 Comunitat Valenciana;2004M03;""
Voluntaria;10 Comunitat Valenciana;2004M02;""
Voluntaria;10 Comunitat Valenciana;2004M01;""
Voluntaria;10 Comunitat Valenciana;2003M12;""
Voluntaria;10 Comunitat Valenciana;2003M11;""
Voluntaria;10 Comunitat Valenciana;2003M10;""
Voluntaria;10 Comunitat Valenciana;2003M09;""
Voluntaria;10 Comunitat Valenciana;2003M08;""
Voluntaria;10 Comunitat Valenciana;2003M07;""
Voluntaria;10 Comunitat Valenciana;2003M06;""
Voluntaria;10 Comunitat Valenciana;2003M05;""
Voluntaria;10 Comunitat Valenciana;2003M04;""
Voluntaria;10 Comunitat Valenciana;2003M03;""
Voluntaria;10 Comunitat Valenciana;2003M02;""
Voluntaria;10 Comunitat Valenciana;2003M01;""
Voluntaria;10 Comunitat Valenciana;2002M12;""
Voluntaria;10 Comunitat Valenciana;2002M11;""
Voluntaria;10 Comunitat Valenciana;2002M10;""
Voluntaria;10 Comunitat Valenciana;2002M09;""
Voluntaria;10 Comunitat Valenciana;2002M08;""
Voluntaria;10 Comunitat Valenciana;2002M07;""
Voluntaria;10 Comunitat Valenciana;2002M06;""
Voluntaria;10 Comunitat Valenciana;2002M05;""
Voluntaria;10 Comunitat Valenciana;2002M04;""
Voluntaria;10 Comunitat Valenciana;2002M03;""
Voluntaria;10 Comunitat Valenciana;2002M02;""
Voluntaria;10 Comunitat Valenciana;2002M01;""
Voluntaria;10 Comunitat Valenciana;2001M12;""
Voluntaria;10 Comunitat Valenciana;2001M11;""
Voluntaria;10 Comunitat Valenciana;2001M10;""
Voluntaria;10 Comunitat Valenciana;2001M09;""
Voluntaria;10 Comunitat Valenciana;2001M08;""
Voluntaria;10 Comunitat Valenciana;2001M07;""
Voluntaria;10 Comunitat Valenciana;2001M06;""
Voluntaria;10 Comunitat Valenciana;2001M05;""
Voluntaria;10 Comunitat Valenciana;2001M04;""
Voluntaria;10 Comunitat Valenciana;2001M03;""
Voluntaria;10 Comunitat Valenciana;2001M02;""
Voluntaria;10 Comunitat Valenciana;2001M01;""
Voluntaria;10 Comunitat Valenciana;2000M12;""
Voluntaria;10 Comunitat Valenciana;2000M11;""
Voluntaria;10 Comunitat Valenciana;2000M10;""
Voluntaria;10 Comunitat Valenciana;2000M09;""
Voluntaria;10 Comunitat Valenciana;2000M08;""
Voluntaria;10 Comunitat Valenciana;2000M07;""
Voluntaria;10 Comunitat Valenciana;2000M06;""
Voluntaria;10 Comunitat Valenciana;2000M05;""
Voluntaria;10 Comunitat Valenciana;2000M04;""
Voluntaria;10 Comunitat Valenciana;2000M03;""
Voluntaria;10 Comunitat Valenciana;2000M02;""
Voluntaria;10 Comunitat Valenciana;2000M01;""
Voluntaria;10 Comunitat Valenciana;1999M12;""
Voluntaria;10 Comunitat Valenciana;1999M11;""
Voluntaria;10 Comunitat Valenciana;1999M10;""
Voluntaria;10 Comunitat Valenciana;1999M09;""
Voluntaria;10 Comunitat Valenciana;1999M08;""
Voluntaria;10 Comunitat Valenciana;1999M07;""
Voluntaria;10 Comunitat Valenciana;1999M06;""
Voluntaria;10 Comunitat Valenciana;1999M05;""
Voluntaria;10 Comunitat Valenciana;1999M04;""
Voluntaria;10 Comunitat Valenciana;1999M03;""
Voluntaria;10 Comunitat Valenciana;1999M02;""
Voluntaria;10 Comunitat Valenciana;1999M01;""
Voluntaria;10 Comunitat Valenciana;1998M12;""
Voluntaria;10 Comunitat Valenciana;1998M11;""
Voluntaria;10 Comunitat Valenciana;1998M10;""
Voluntaria;10 Comunitat Valenciana;1998M09;""
Voluntaria;10 Comunitat Valenciana;1998M08;""
Voluntaria;10 Comunitat Valenciana;1998M07;""
Voluntaria;10 Comunitat Valenciana;1998M06;""
Voluntaria;10 Comunitat Valenciana;1998M05;""
Voluntaria;10 Comunitat Valenciana;1998M04;""
Voluntaria;10 Comunitat Valenciana;1998M03;""
Voluntaria;10 Comunitat Valenciana;1998M02;""
Voluntaria;10 Comunitat Valenciana;1998M01;""
Voluntaria;10 Comunitat Valenciana;1997M12;""
Voluntaria;10 Comunitat Valenciana;1997M11;""
Voluntaria;10 Comunitat Valenciana;1997M10;""
Voluntaria;10 Comunitat Valenciana;1997M09;""
Voluntaria;10 Comunitat Valenciana;1997M08;""
Voluntaria;10 Comunitat Valenciana;1997M07;""
Voluntaria;10 Comunitat Valenciana;1997M06;""
Voluntaria;10 Comunitat Valenciana;1997M05;""
Voluntaria;10 Comunitat Valenciana;1997M04;""
Voluntaria;10 Comunitat Valenciana;1997M03;""
Voluntaria;10 Comunitat Valenciana;1997M02;""
Voluntaria;10 Comunitat Valenciana;1997M01;""
Voluntaria;10 Comunitat Valenciana;1996M12;""
Voluntaria;10 Comunitat Valenciana;1996M11;""
Voluntaria;10 Comunitat Valenciana;1996M10;""
Voluntaria;10 Comunitat Valenciana;1996M09;""
Voluntaria;10 Comunitat Valenciana;1996M08;""
Voluntaria;10 Comunitat Valenciana;1996M07;""
Voluntaria;10 Comunitat Valenciana;1996M06;""
Voluntaria;10 Comunitat Valenciana;1996M05;""
Voluntaria;10 Comunitat Valenciana;1996M04;""
Voluntaria;10 Comunitat Valenciana;1996M03;""
Voluntaria;10 Comunitat Valenciana;1996M02;""
Voluntaria;10 Comunitat Valenciana;1996M01;""
Voluntaria;10 Comunitat Valenciana;1995M12;""
Voluntaria;10 Comunitat Valenciana;1995M11;""
Voluntaria;10 Comunitat Valenciana;1995M10;""
Voluntaria;10 Comunitat Valenciana;1995M09;""
Voluntaria;10 Comunitat Valenciana;1995M08;""
Voluntaria;10 Comunitat Valenciana;1995M07;""
Voluntaria;10 Comunitat Valenciana;1995M06;""
Voluntaria;10 Comunitat Valenciana;1995M05;""
Voluntaria;10 Comunitat Valenciana;1995M04;""
Voluntaria;10 Comunitat Valenciana;1995M03;""
Voluntaria;10 Comunitat Valenciana;1995M02;""
Voluntaria;10 Comunitat Valenciana;1995M01;""
Voluntaria;11 Extremadura;2025M05;19
Voluntaria;11 Extremadura;2025M04;16
Voluntaria;11 Extremadura;2025M03;16
Voluntaria;11 Extremadura;2025M02;35
Voluntaria;11 Extremadura;2025M01;43
Voluntaria;11 Extremadura;2024M12;40
Voluntaria;11 Extremadura;2024M11;34
Voluntaria;11 Extremadura;2024M10;28
Voluntaria;11 Extremadura;2024M09;15
Voluntaria;11 Extremadura;2024M08;13
Voluntaria;11 Extremadura;2024M07;21
Voluntaria;11 Extremadura;2024M06;10
Voluntaria;11 Extremadura;2024M05;24
Voluntaria;11 Extremadura;2024M04;19
Voluntaria;11 Extremadura;2024M03;25
Voluntaria;11 Extremadura;2024M02;30
Voluntaria;11 Extremadura;2024M01;52
Voluntaria;11 Extremadura;2023M12;35
Voluntaria;11 Extremadura;2023M11;27
Voluntaria;11 Extremadura;2023M10;21
Voluntaria;11 Extremadura;2023M09;18
Voluntaria;11 Extremadura;2023M08;12
Voluntaria;11 Extremadura;2023M07;16
Voluntaria;11 Extremadura;2023M06;23
Voluntaria;11 Extremadura;2023M05;15
Voluntaria;11 Extremadura;2023M04;21
Voluntaria;11 Extremadura;2023M03;30
Voluntaria;11 Extremadura;2023M02;24
Voluntaria;11 Extremadura;2023M01;54
Voluntaria;11 Extremadura;2022M12;34
Voluntaria;11 Extremadura;2022M11;36
Voluntaria;11 Extremadura;2022M10;28
Voluntaria;11 Extremadura;2022M09;13
Voluntaria;11 Extremadura;2022M08;14
Voluntaria;11 Extremadura;2022M07;20
Voluntaria;11 Extremadura;2022M06;22
Voluntaria;11 Extremadura;2022M05;18
Voluntaria;11 Extremadura;2022M04;17
Voluntaria;11 Extremadura;2022M03;21
Voluntaria;11 Extremadura;2022M02;38
Voluntaria;11 Extremadura;2022M01;44
Voluntaria;11 Extremadura;2021M12;45
Voluntaria;11 Extremadura;2021M11;24
Voluntaria;11 Extremadura;2021M10;21
Voluntaria;11 Extremadura;2021M09;19
Voluntaria;11 Extremadura;2021M08;22
Voluntaria;11 Extremadura;2021M07;21
Voluntaria;11 Extremadura;2021M06;22
Voluntaria;11 Extremadura;2021M05;25
Voluntaria;11 Extremadura;2021M04;21
Voluntaria;11 Extremadura;2021M03;19
Voluntaria;11 Extremadura;2021M02;17
Voluntaria;11 Extremadura;2021M01;36
Voluntaria;11 Extremadura;2020M12;42
Voluntaria;11 Extremadura;2020M11;29
Voluntaria;11 Extremadura;2020M10;33
Voluntaria;11 Extremadura;2020M09;17
Voluntaria;11 Extremadura;2020M08;16
Voluntaria;11 Extremadura;2020M07;22
Voluntaria;11 Extremadura;2020M06;13
Voluntaria;11 Extremadura;2020M05;5
Voluntaria;11 Extremadura;2020M04;6
Voluntaria;11 Extremadura;2020M03;12
Voluntaria;11 Extremadura;2020M02;28
Voluntaria;11 Extremadura;2020M01;41
Voluntaria;11 Extremadura;2019M12;33
Voluntaria;11 Extremadura;2019M11;22
Voluntaria;11 Extremadura;2019M10;24
Voluntaria;11 Extremadura;2019M09;9
Voluntaria;11 Extremadura;2019M08;9
Voluntaria;11 Extremadura;2019M07;20
Voluntaria;11 Extremadura;2019M06;11
