TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,AEROPUERTO_ORIGEN#es,AEROPUERTO_ORIGEN#ca,AEROPUERTO_ORIGEN_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
05/2020,05/2020,2020-M05,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,0.00,Baja fiabilidad,Baixa fiabilitat,U,,,,
05/2020,05/2020,2020-M05,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,0.00,Baja fiabilidad,Baixa fiabilitat,U,,,,
05/2020,05/2020,2020-M05,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,0.00,Baja fiabilidad,Baixa fiabilitat,U,,,,
05/2020,05/2020,2020-M05,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,0.00,Baja fiabilidad,Baixa fiabilitat,U,,,,
04/2020,04/2020,2020-M04,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,0.00,Baja fiabilidad,Baixa fiabilitat,U,,,,
04/2020,04/2020,2020-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,0.00,Baja fiabilidad,Baixa fiabilitat,U,,,,
04/2020,04/2020,2020-M04,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,0.00,Baja fiabilidad,Baixa fiabilitat,U,,,,
04/2020,04/2020,2020-M04,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,0.00,Baja fiabilidad,Baixa fiabilitat,U,,,,
04/2020,04/2020,2020-M04,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,0.00,Baja fiabilidad,Baixa fiabilitat,U,,,,
04/2020,04/2020,2020-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,0.00,Baja fiabilidad,Baixa fiabilitat,U,,,,
04/2020,04/2020,2020-M04,Total,Total,_T,Extranjero,Estranger,FOREIGN,0.00,Baja fiabilidad,Baixa fiabilitat,U,,,,
04/2020,04/2020,2020-M04,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,0.00,Baja fiabilidad,Baixa fiabilitat,U,,,,
04/2020,04/2020,2020-M04,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,0.00,Baja fiabilidad,Baixa fiabilitat,U,,,,
04/2020,04/2020,2020-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,0.00,Baja fiabilidad,Baixa fiabilitat,U,,,,
04/2020,04/2020,2020-M04,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,0.00,Baja fiabilidad,Baixa fiabilitat,U,,,,
04/2020,04/2020,2020-M04,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,0.00,Baja fiabilidad,Baixa fiabilitat,U,,,,
03/2020,03/2020,2020-M03,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,51.90,Valor normal,Valor normal,A,,,,
03/2020,03/2020,2020-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,5.60,Valor normal,Valor normal,A,,,,
03/2020,03/2020,2020-M03,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
03/2020,03/2020,2020-M03,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,42.49,Valor normal,Valor normal,A,,,,
03/2020,03/2020,2020-M03,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,7.39,Valor normal,Valor normal,A,,,,
03/2020,03/2020,2020-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,92.61,Valor normal,Valor normal,A,,,,
03/2020,03/2020,2020-M03,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
03/2020,03/2020,2020-M03,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,,Baja fiabilidad,Baixa fiabilitat,U,,,,
03/2020,03/2020,2020-M03,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,33.28,Valor normal,Valor normal,A,,,,
03/2020,03/2020,2020-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,42.00,Valor normal,Valor normal,A,,,,
03/2020,03/2020,2020-M03,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
03/2020,03/2020,2020-M03,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,24.72,Valor normal,Valor normal,A,,,,
02/2020,02/2020,2020-M02,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,51.32,Valor normal,Valor normal,A,,,,
02/2020,02/2020,2020-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,5.83,Valor normal,Valor normal,A,,,,
02/2020,02/2020,2020-M02,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
02/2020,02/2020,2020-M02,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,42.85,Valor normal,Valor normal,A,,,,
02/2020,02/2020,2020-M02,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,12.53,Valor normal,Valor normal,A,,,,
02/2020,02/2020,2020-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,86.79,Valor normal,Valor normal,A,,,,
02/2020,02/2020,2020-M02,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
02/2020,02/2020,2020-M02,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,0.68,Valor normal,Valor normal,A,,,,
02/2020,02/2020,2020-M02,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,36.32,Valor normal,Valor normal,A,,,,
02/2020,02/2020,2020-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,37.14,Valor normal,Valor normal,A,,,,
02/2020,02/2020,2020-M02,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
02/2020,02/2020,2020-M02,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,26.54,Valor normal,Valor normal,A,,,,
01/2020,01/2020,2020-M01,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,49.41,Valor normal,Valor normal,A,,,,
01/2020,01/2020,2020-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,7.27,Valor normal,Valor normal,A,,,,
01/2020,01/2020,2020-M01,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
01/2020,01/2020,2020-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,43.32,Valor normal,Valor normal,A,,,,
01/2020,01/2020,2020-M01,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,24.62,Valor normal,Valor normal,A,,,,
01/2020,01/2020,2020-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,74.68,Valor normal,Valor normal,A,,,,
01/2020,01/2020,2020-M01,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
01/2020,01/2020,2020-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,,Baja fiabilidad,Baixa fiabilitat,U,,,,
01/2020,01/2020,2020-M01,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,42.35,Valor normal,Valor normal,A,,,,
01/2020,01/2020,2020-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,26.48,Valor normal,Valor normal,A,,,,
01/2020,01/2020,2020-M01,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
01/2020,01/2020,2020-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,31.18,Valor normal,Valor normal,A,,,,
2019,2019,2019,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,35.09,Valor normal,Valor normal,A,,,,
2019,2019,2019,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,17.72,Valor normal,Valor normal,A,,,,
2019,2019,2019,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
2019,2019,2019,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,47.20,Valor normal,Valor normal,A,,,,
2019,2019,2019,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,3.88,Valor normal,Valor normal,A,,,,
2019,2019,2019,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,95.94,Valor normal,Valor normal,A,,,,
2019,2019,2019,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
2019,2019,2019,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,0.18,Valor normal,Valor normal,A,,,,
2019,2019,2019,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,12.51,Valor normal,Valor normal,A,,,,
2019,2019,2019,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,74.31,Valor normal,Valor normal,A,,,,
2019,2019,2019,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
2019,2019,2019,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,13.18,Valor normal,Valor normal,A,,,,
12/2019,12/2019,2019-M12,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,58.72,Valor normal,Valor normal,A,,,,
12/2019,12/2019,2019-M12,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,9.03,Valor normal,Valor normal,A,,,,
12/2019,12/2019,2019-M12,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
12/2019,12/2019,2019-M12,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,32.25,Valor normal,Valor normal,A,,,,
12/2019,12/2019,2019-M12,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,34.94,Valor normal,Valor normal,A,,,,
12/2019,12/2019,2019-M12,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,63.88,Valor normal,Valor normal,A,,,,
12/2019,12/2019,2019-M12,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
12/2019,12/2019,2019-M12,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,1.18,Valor normal,Valor normal,A,,,,
12/2019,12/2019,2019-M12,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,50.34,Valor normal,Valor normal,A,,,,
12/2019,12/2019,2019-M12,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,28.36,Valor normal,Valor normal,A,,,,
12/2019,12/2019,2019-M12,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
12/2019,12/2019,2019-M12,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,21.30,Valor normal,Valor normal,A,,,,
11/2019,11/2019,2019-M11,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,55.02,Valor normal,Valor normal,A,,,,
11/2019,11/2019,2019-M11,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,10.99,Valor normal,Valor normal,A,,,,
11/2019,11/2019,2019-M11,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
11/2019,11/2019,2019-M11,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,33.98,Valor normal,Valor normal,A,,,,
11/2019,11/2019,2019-M11,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,13.44,Valor normal,Valor normal,A,,,,
11/2019,11/2019,2019-M11,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,86.05,Valor normal,Valor normal,A,,,,
11/2019,11/2019,2019-M11,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
11/2019,11/2019,2019-M11,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,,Baja fiabilidad,Baixa fiabilitat,U,,,,
11/2019,11/2019,2019-M11,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,39.36,Valor normal,Valor normal,A,,,,
11/2019,11/2019,2019-M11,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,39.26,Valor normal,Valor normal,A,,,,
11/2019,11/2019,2019-M11,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
11/2019,11/2019,2019-M11,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,21.37,Valor normal,Valor normal,A,,,,
10/2019,10/2019,2019-M10,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,29.86,Valor normal,Valor normal,A,,,,
10/2019,10/2019,2019-M10,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,25.71,Valor normal,Valor normal,A,,,,
10/2019,10/2019,2019-M10,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
10/2019,10/2019,2019-M10,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,44.43,Valor normal,Valor normal,A,,,,
10/2019,10/2019,2019-M10,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,2.40,Valor normal,Valor normal,A,,,,
10/2019,10/2019,2019-M10,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,97.45,Valor normal,Valor normal,A,,,,
10/2019,10/2019,2019-M10,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
10/2019,10/2019,2019-M10,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,,Baja fiabilidad,Baixa fiabilitat,U,,,,
10/2019,10/2019,2019-M10,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,8.83,Valor normal,Valor normal,A,,,,
10/2019,10/2019,2019-M10,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,80.64,Valor normal,Valor normal,A,,,,
10/2019,10/2019,2019-M10,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
10/2019,10/2019,2019-M10,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,10.53,Valor normal,Valor normal,A,,,,
09/2019,09/2019,2019-M09,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,23.30,Valor normal,Valor normal,A,,,,
09/2019,09/2019,2019-M09,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,25.08,Valor normal,Valor normal,A,,,,
09/2019,09/2019,2019-M09,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
09/2019,09/2019,2019-M09,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,51.62,Valor normal,Valor normal,A,,,,
09/2019,09/2019,2019-M09,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,2.12,Valor normal,Valor normal,A,,,,
09/2019,09/2019,2019-M09,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,97.65,Valor normal,Valor normal,A,,,,
09/2019,09/2019,2019-M09,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
09/2019,09/2019,2019-M09,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,,Baja fiabilidad,Baixa fiabilitat,U,,,,
09/2019,09/2019,2019-M09,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,6.45,Valor normal,Valor normal,A,,,,
09/2019,09/2019,2019-M09,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,82.80,Valor normal,Valor normal,A,,,,
09/2019,09/2019,2019-M09,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
09/2019,09/2019,2019-M09,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,10.74,Valor normal,Valor normal,A,,,,
08/2019,08/2019,2019-M08,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,21.12,Valor normal,Valor normal,A,,,,
08/2019,08/2019,2019-M08,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,23.12,Valor normal,Valor normal,A,,,,
08/2019,08/2019,2019-M08,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
08/2019,08/2019,2019-M08,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,55.77,Valor normal,Valor normal,A,,,,
08/2019,08/2019,2019-M08,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,3.18,Valor normal,Valor normal,A,,,,
08/2019,08/2019,2019-M08,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,96.64,Valor normal,Valor normal,A,,,,
08/2019,08/2019,2019-M08,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
08/2019,08/2019,2019-M08,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,0.19,Valor normal,Valor normal,A,,,,
08/2019,08/2019,2019-M08,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,7.24,Valor normal,Valor normal,A,,,,
08/2019,08/2019,2019-M08,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,80.00,Valor normal,Valor normal,A,,,,
08/2019,08/2019,2019-M08,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
08/2019,08/2019,2019-M08,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,12.76,Valor normal,Valor normal,A,,,,
07/2019,07/2019,2019-M07,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,16.68,Valor normal,Valor normal,A,,,,
07/2019,07/2019,2019-M07,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,24.02,Valor normal,Valor normal,A,,,,
07/2019,07/2019,2019-M07,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
07/2019,07/2019,2019-M07,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,59.30,Valor normal,Valor normal,A,,,,
07/2019,07/2019,2019-M07,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,1.44,Valor normal,Valor normal,A,,,,
07/2019,07/2019,2019-M07,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,98.43,Valor normal,Valor normal,A,,,,
07/2019,07/2019,2019-M07,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
07/2019,07/2019,2019-M07,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,,Baja fiabilidad,Baixa fiabilitat,U,,,,
07/2019,07/2019,2019-M07,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,4.79,Valor normal,Valor normal,A,,,,
07/2019,07/2019,2019-M07,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,82.06,Valor normal,Valor normal,A,,,,
07/2019,07/2019,2019-M07,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
07/2019,07/2019,2019-M07,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,13.15,Valor normal,Valor normal,A,,,,
06/2019,06/2019,2019-M06,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,24.15,Valor normal,Valor normal,A,,,,
06/2019,06/2019,2019-M06,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,23.77,Valor normal,Valor normal,A,,,,
06/2019,06/2019,2019-M06,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
06/2019,06/2019,2019-M06,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,52.08,Valor normal,Valor normal,A,,,,
06/2019,06/2019,2019-M06,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,2.62,Valor normal,Valor normal,A,,,,
06/2019,06/2019,2019-M06,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,97.32,Valor normal,Valor normal,A,,,,
06/2019,06/2019,2019-M06,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
06/2019,06/2019,2019-M06,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,,Baja fiabilidad,Baixa fiabilitat,U,,,,
