MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA_CODE,PAQUETE_TURISTICO#ca,PAQUETE_TURISTICO#es,PAQUETE_TURISTICO_CODE,OBS_VALUE,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Regne Unit,Reino Unido,GB,No,No,NO,16996,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Regne Unit,Reino Unido,GB,Sí,Sí,SI,70.29,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Regne Unit,Reino Unido,GB,Total,Total,_T,-1.51,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Regne Unit,Reino Unido,GB,No,No,NO,-12.04,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Itàlia,Italia,IT,Sí,Sí,SI,,,,Baixa fiabilitat,Baja fiabilidad,U,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Itàlia,Italia,IT,Total,Total,_T,8102,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Itàlia,Italia,IT,No,No,NO,7809,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Itàlia,Italia,IT,Sí,Sí,SI,,,,Valor no disponible,Valor no disponible,O,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Itàlia,Italia,IT,Total,Total,_T,400.30,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Itàlia,Italia,IT,No,No,NO,393.40,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Sí,Sí,SI,27673,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Total,Total,_T,276644,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,No,No,NO,248971,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Sí,Sí,SI,81.75,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Total,Total,_T,5.59,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,No,No,NO,0.89,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Món (exclosa Espanya),Mundo (excluida España),5000_XES,Sí,Sí,SI,21490,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Món (exclosa Espanya),Mundo (excluida España),5000_XES,Total,Total,_T,147620,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Món (exclosa Espanya),Mundo (excluida España),5000_XES,No,No,NO,126130,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Món (exclosa Espanya),Mundo (excluida España),5000_XES,Sí,Sí,SI,105.72,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Món (exclosa Espanya),Mundo (excluida España),5000_XES,Total,Total,_T,6.00,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Món (exclosa Espanya),Mundo (excluida España),5000_XES,No,No,NO,-2.09,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Alemanya,Alemania,DE,Sí,Sí,SI,15527,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Alemanya,Alemania,DE,Total,Total,_T,72260,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Alemanya,Alemania,DE,No,No,NO,56733,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alemanya,Alemania,DE,Sí,Sí,SI,108.23,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alemanya,Alemania,DE,Total,Total,_T,5.66,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alemanya,Alemania,DE,No,No,NO,-6.89,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,Sí,Sí,SI,6182,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,Total,Total,_T,129024,,,Valor provisional,Valor provisional,P,,
