MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,TIPOS_ALOJAMIENTO#es,TIPOS_ALOJAMIENTO#ca,TIPOS_ALOJAMIENTO_CODE,TERRITORIO#es,TERRITORIO#ca,TERRITORIO_CODE,OBS_VALUE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,Illes Balears,Illes Balears,ES53,-6.79,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,Mallorca,Mallorca,ES532,-13.46,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,Menorca,Menorca,ES533,58.06,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,Eivissa y Formentera,Eivissa i Formentera,ES531,18.86,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Total,Total,_T,Illes Balears,Illes Balears,ES53,276644,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Total,Total,_T,Mallorca,Mallorca,ES532,235664,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Total,Total,_T,Menorca,Menorca,ES533,13958,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Total,Total,_T,Eivissa y Formentera,Eivissa i Formentera,ES531,27023,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Total,Total,_T,Illes Balears,Illes Balears,ES53,5.59,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Total,Total,_T,Mallorca,Mallorca,ES532,6.68,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Total,Total,_T,Menorca,Menorca,ES533,23.32,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Total,Total,_T,Eivissa y Formentera,Eivissa i Formentera,ES531,-9.26,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,Illes Balears,Illes Balears,ES53,59625,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,Mallorca,Mallorca,ES532,52412,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,Menorca,Menorca,ES533,2769,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,Eivissa y Formentera,Eivissa i Formentera,ES531,4444,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,Illes Balears,Illes Balears,ES53,-1.31,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,Mallorca,Mallorca,ES532,4.77,,,Valor provisional,Valor provisional,P,,
