MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,TERRITORIO#es,TERRITORIO#ca,TERRITORIO_CODE,MOTIVO_PRINCIPAL_VIAJE_TURISTICO#es,MOTIVO_PRINCIPAL_VIAJE_TURISTICO#ca,MOTIVO_PRINCIPAL_VIAJE_TURISTICO_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Eivissa y Formentera,Eivissa i Formentera,ES531,Total,Total,_T,-9.26,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Eivissa y Formentera,Eivissa i Formentera,ES531,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,-18.09,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Eivissa y Formentera,Eivissa i Formentera,ES531,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,-50.70,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Eivissa y Formentera,Eivissa i Formentera,ES531,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,7.14,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Illes Balears,Illes Balears,ES53,Total,Total,_T,18735675,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Illes Balears,Illes Balears,ES53,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,1051332,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Illes Balears,Illes Balears,ES53,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,596779,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Illes Balears,Illes Balears,ES53,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,17087564,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Illes Balears,Illes Balears,ES53,Total,Total,_T,4.93,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Illes Balears,Illes Balears,ES53,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,6.02,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Illes Balears,Illes Balears,ES53,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,0.49,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Illes Balears,Illes Balears,ES53,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,5.03,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Mallorca,Mallorca,ES532,Total,Total,_T,13389923,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Mallorca,Mallorca,ES532,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,872694,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Mallorca,Mallorca,ES532,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,435429,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Mallorca,Mallorca,ES532,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,12081800,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Mallorca,Mallorca,ES532,Total,Total,_T,7.31,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Mallorca,Mallorca,ES532,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,9.70,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Mallorca,Mallorca,ES532,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,-1.10,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Mallorca,Mallorca,ES532,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,7.47,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Menorca,Menorca,ES533,Total,Total,_T,1678432,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Menorca,Menorca,ES533,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,51301,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Menorca,Menorca,ES533,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,23052,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Menorca,Menorca,ES533,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,1604079,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Menorca,Menorca,ES533,Total,Total,_T,1.12,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Menorca,Menorca,ES533,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,31.67,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Menorca,Menorca,ES533,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,-7.40,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Menorca,Menorca,ES533,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,0.51,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Eivissa y Formentera,Eivissa i Formentera,ES531,Total,Total,_T,3667319,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Eivissa y Formentera,Eivissa i Formentera,ES531,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,127337,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Eivissa y Formentera,Eivissa i Formentera,ES531,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,138298,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Eivissa y Formentera,Eivissa i Formentera,ES531,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,3401685,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Eivissa y Formentera,Eivissa i Formentera,ES531,Total,Total,_T,-1.35,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Eivissa y Formentera,Eivissa i Formentera,ES531,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,-18.96,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Eivissa y Formentera,Eivissa i Formentera,ES531,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,7.43,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Eivissa y Formentera,Eivissa i Formentera,ES531,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,-0.88,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,12/2024,12/2024,2024-M12,Illes Balears,Illes Balears,ES53,Total,Total,_T,296261,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,12/2024,12/2024,2024-M12,Illes Balears,Illes Balears,ES53,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,92029,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,12/2024,12/2024,2024-M12,Illes Balears,Illes Balears,ES53,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,25461,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,12/2024,12/2024,2024-M12,Illes Balears,Illes Balears,ES53,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,178771,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Illes Balears,Illes Balears,ES53,Total,Total,_T,6.18,Valor provisional,Valor provisional,P,,,,
