MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,MOTIVO_PRINCIPAL_VIAJE_TURISTICO#es,MOTIVO_PRINCIPAL_VIAJE_TURISTICO#ca,MOTIVO_PRINCIPAL_VIAJE_TURISTICO_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,6446,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,61626,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Total,Total,_T,15.81,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,-5.59,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,31.04,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,18.73,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,Total,Total,_T,21823,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,3249,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,1864,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,16710,,,,,Valor provisional,Valor provisional,P
