MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,TERRITORIO#ca,TERRITORIO#es,TERRITORIO_CODE,PAQUETE_TURISTICO#ca,PAQUETE_TURISTICO#es,PAQUETE_TURISTICO_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Turistes,Turistas,TURISTAS,2024,2024,2024,Illes Balears,Illes Balears,ES53,No,No,NO,12365295,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,4.85,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Illes Balears,Illes Balears,ES53,Total,Total,_T,4.93,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Illes Balears,Illes Balears,ES53,No,No,NO,4.98,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,2024,2024,2024,Mallorca,Mallorca,ES532,Sí,Sí,SI,5068338,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,2024,2024,2024,Mallorca,Mallorca,ES532,Total,Total,_T,13389923,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,2024,2024,2024,Mallorca,Mallorca,ES532,No,No,NO,8321585,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Mallorca,Mallorca,ES532,Sí,Sí,SI,6.53,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Mallorca,Mallorca,ES532,Total,Total,_T,7.31,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Mallorca,Mallorca,ES532,No,No,NO,7.79,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,2024,2024,2024,Menorca,Menorca,ES533,Sí,Sí,SI,608111,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,2024,2024,2024,Menorca,Menorca,ES533,Total,Total,_T,1678432,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,2024,2024,2024,Menorca,Menorca,ES533,No,No,NO,1070321,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Menorca,Menorca,ES533,Sí,Sí,SI,15.41,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Menorca,Menorca,ES533,Total,Total,_T,1.12,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Menorca,Menorca,ES533,No,No,NO,-5.53,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,2024,2024,2024,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,693931,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,2024,2024,2024,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,3667319,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,2024,2024,2024,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,2973389,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,-12.34,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,-1.35,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,1.62,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,31519,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Illes Balears,Illes Balears,ES53,Total,Total,_T,296261,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Illes Balears,Illes Balears,ES53,No,No,NO,264742,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,-0.53,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Illes Balears,Illes Balears,ES53,Total,Total,_T,6.18,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Illes Balears,Illes Balears,ES53,No,No,NO,7.04,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Mallorca,Mallorca,ES532,Sí,Sí,SI,30542,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Mallorca,Mallorca,ES532,Total,Total,_T,243630,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Mallorca,Mallorca,ES532,No,No,NO,213089,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Mallorca,Mallorca,ES532,Sí,Sí,SI,1.16,,,,,Valor provisional,Valor provisional,P
