MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TERRITORIO#es,TERRITORIO#ca,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Comunidad Valenciana,Comunitat Valenciana,ES52,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,-7.90,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Madrid (Comunidad de),Madrid (Comunitat de),ES30,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,17.68,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Resto de España,Resta d'Espanya,ES_O,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,2.32,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,España,Espanya,ES,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,537842,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Illes Balears,Illes Balears,ES53,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,72260,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Andalucía,Andalusia,ES61,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,65241,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Canarias,Canàries,ES70,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,228323,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Cataluña,Catalunya,ES51,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,46329,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Comunidad Valenciana,Comunitat Valenciana,ES52,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,49873,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Madrid (Comunidad de),Madrid (Comunitat de),ES30,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,34063,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Resto de España,Resta d'Espanya,ES_O,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,41753,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,España,Espanya,ES,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,-2.44,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,5.66,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Andalucía,Andalusia,ES61,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,7.20,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Canarias,Canàries,ES70,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,-4.99,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Cataluña,Catalunya,ES51,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,-13.42,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Comunidad Valenciana,Comunitat Valenciana,ES52,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,-14.46,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Madrid (Comunidad de),Madrid (Comunitat de),ES30,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,-5.14,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Resto de España,Resta d'Espanya,ES_O,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,22.72,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,España,Espanya,ES,01/2025,01/2025,2025-M01,Reino Unido,Regne Unit,GB,863286,Valor provisional,Valor provisional,P,,,,
