MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TERRITORIO#ca,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA_CODE,OBS_VALUE,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Mallorca,Mallorca,ES532,02/2025,02/2025,2025-M02,França,Francia,FR,7.46,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Menorca,Menorca,ES533,02/2025,02/2025,2025-M02,França,Francia,FR,94.05,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Eivissa i Formentera,Eivissa y Formentera,ES531,02/2025,02/2025,2025-M02,França,Francia,FR,-13.13,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Illes Balears,Illes Balears,ES53,02/2025,02/2025,2025-M02,"Bèlgica,Luxemburg i Països Baixos","Bélgica,Luxemburgo y Países Bajos",5100_L2,13796,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Mallorca,Mallorca,ES532,02/2025,02/2025,2025-M02,"Bèlgica,Luxemburg i Països Baixos","Bélgica,Luxemburgo y Países Bajos",5100_L2,12141,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Menorca,Menorca,ES533,02/2025,02/2025,2025-M02,"Bèlgica,Luxemburg i Països Baixos","Bélgica,Luxemburgo y Países Bajos",5100_L2,,Baixa fiabilitat,Baja fiabilidad,U,,,,
Turistes,Turistas,TURISTAS,Eivissa i Formentera,Eivissa y Formentera,ES531,02/2025,02/2025,2025-M02,"Bèlgica,Luxemburg i Països Baixos","Bélgica,Luxemburgo y Países Bajos",5100_L2,1655,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,02/2025,02/2025,2025-M02,"Bèlgica,Luxemburg i Països Baixos","Bélgica,Luxemburgo y Países Bajos",5100_L2,7.89,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Mallorca,Mallorca,ES532,02/2025,02/2025,2025-M02,"Bèlgica,Luxemburg i Països Baixos","Bélgica,Luxemburgo y Países Bajos",5100_L2,53.91,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Menorca,Menorca,ES533,02/2025,02/2025,2025-M02,"Bèlgica,Luxemburg i Països Baixos","Bélgica,Luxemburgo y Países Bajos",5100_L2,,Valor no disponible,Valor no disponible,O,,,,
