Provincias;Ramas de actividad;Periodo;Total
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2005;1.255.500
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2004;1.273.460
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2003;1.089.265
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2002;1.101.803
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2001;985.640
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2000;957.536
02 Albacete;Valor añadido bruto total;2022 (P);8.649.342
02 Albacete;Valor añadido bruto total;2021;8.015.829
02 Albacete;Valor añadido bruto total;2020;7.299.945
02 Albacete;Valor añadido bruto total;2019;7.813.419
02 Albacete;Valor añadido bruto total;2018;7.486.477
02 Albacete;Valor añadido bruto total;2017;7.233.817
02 Albacete;Valor añadido bruto total;2016;6.857.118
02 Albacete;Valor añadido bruto total;2015;6.724.359
02 Albacete;Valor añadido bruto total;2014;6.351.099
02 Albacete;Valor añadido bruto total;2013;6.451.081
02 Albacete;Valor añadido bruto total;2012;6.552.792
02 Albacete;Valor añadido bruto total;2011;6.748.222
02 Albacete;Valor añadido bruto total;2010;6.856.388
02 Albacete;Valor añadido bruto total;2009;7.012.981
02 Albacete;Valor añadido bruto total;2008;6.910.905
02 Albacete;Valor añadido bruto total;2007;6.385.685
02 Albacete;Valor añadido bruto total;2006;6.003.458
02 Albacete;Valor añadido bruto total;2005;5.603.237
02 Albacete;Valor añadido bruto total;2004;5.219.410
02 Albacete;Valor añadido bruto total;2003;4.919.457
02 Albacete;Valor añadido bruto total;2002;4.742.903
02 Albacete;Valor añadido bruto total;2001;4.359.923
02 Albacete;Valor añadido bruto total;2000;3.948.945
02 Albacete;Impuestos netos sobre los productos;2022 (P);836.620
02 Albacete;Impuestos netos sobre los productos;2021;837.553
02 Albacete;Impuestos netos sobre los productos;2020;710.489
02 Albacete;Impuestos netos sobre los productos;2019;813.793
02 Albacete;Impuestos netos sobre los productos;2018;798.792
02 Albacete;Impuestos netos sobre los productos;2017;759.086
02 Albacete;Impuestos netos sobre los productos;2016;713.291
02 Albacete;Impuestos netos sobre los productos;2015;690.904
02 Albacete;Impuestos netos sobre los productos;2014;635.353
02 Albacete;Impuestos netos sobre los productos;2013;620.664
02 Albacete;Impuestos netos sobre los productos;2012;584.128
02 Albacete;Impuestos netos sobre los productos;2011;587.920
02 Albacete;Impuestos netos sobre los productos;2010;619.564
02 Albacete;Impuestos netos sobre los productos;2009;480.667
02 Albacete;Impuestos netos sobre los productos;2008;600.827
02 Albacete;Impuestos netos sobre los productos;2007;718.664
02 Albacete;Impuestos netos sobre los productos;2006;731.458
02 Albacete;Impuestos netos sobre los productos;2005;657.425
02 Albacete;Impuestos netos sobre los productos;2004;583.260
02 Albacete;Impuestos netos sobre los productos;2003;518.606
02 Albacete;Impuestos netos sobre los productos;2002;474.670
02 Albacete;Impuestos netos sobre los productos;2001;435.738
02 Albacete;Impuestos netos sobre los productos;2000;407.421
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2022 (P);9.485.962
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021;8.853.382
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;8.010.434
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;8.627.212
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2018;8.285.269
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2017;7.992.903
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2016;7.570.409
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2015;7.415.263
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2014;6.986.452
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2013;7.071.745
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2012;7.136.920
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2011;7.336.142
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2010;7.475.952
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2009;7.493.648
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2008;7.511.732
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2007;7.104.349
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2006;6.734.916
