CPRO,PROVINCIA,code_mun,municipality,total,male,female,year
07,Balears (Illes),037,Mercadal (Es),3654,1880,1774,2003
07,Balears (Illes),902,Migjorn Gran (Es),1216,621,595,2003
07,Balears (Illes),038,Montuïri,2521,1280,1241,2003
07,Balears (Illes),039,Muro,6572,3345,3227,2003
07,Balears (Illes),040,Palma de Mallorca,367277,180458,186819,2003
07,Balears (Illes),041,Petra,2697,1335,1362,2003
07,Balears (Illes),044,Pobla (Sa),11446,6035,5411,2003
07,Balears (Illes),042,Pollença,15566,7804,7762,2003
07,Balears (Illes),043,Porreres,4568,2401,2167,2003
07,Balears (Illes),045,Puigpunyent,1477,764,713,2003
07,Balears (Illes),059,Salines (Ses),4116,2093,2023,2003
07,Balears (Illes),046,Sant Antoni de Portmany,17261,8883,8378,2003
07,Balears (Illes),049,Sant Joan,1803,913,890,2003
07,Balears (Illes),050,Sant Joan de Labritja,4673,2403,2270,2003
07,Balears (Illes),048,Sant Josep de sa Talaia,17076,8909,8167,2003
07,Balears (Illes),051,Sant Llorenç des Cardassar,7246,3707,3539,2003
07,Balears (Illes),052,Sant Lluís,5216,2608,2608,2003
07,Balears (Illes),053,Santa Eugènia,1358,695,663,2003
07,Balears (Illes),054,Santa Eulalia del Río,25918,13317,12601,2003
07,Balears (Illes),055,Santa Margalida,9074,4598,4476,2003
07,Balears (Illes),056,Santa María del Camí,5074,2524,2550,2003
07,Balears (Illes),057,Santanyí,10253,5230,5023,2003
07,Balears (Illes),058,Selva,3096,1521,1575,2003
07,Balears (Illes),047,Sencelles,2464,1247,1217,2003
07,Balears (Illes),060,Sineu,2868,1420,1448,2003
07,Balears (Illes),061,Sóller,12472,6268,6204,2003
07,Balears (Illes),062,Son Servera,10750,5461,5289,2003
07,Balears (Illes),063,Valldemossa,1820,907,913,2003
07,Balears (Illes),065,Vilafranca de Bonany,2550,1284,1266,2003
07,Balears (Illes),002,Alaior,8308,4182,4126,2004
07,Balears (Illes),001,Alaró,4607,2267,2340,2004
07,Balears (Illes),003,Alcúdia,15057,7717,7340,2004
07,Balears (Illes),004,Algaida,4149,2134,2015,2004
07,Balears (Illes),005,Andratx,9404,4697,4707,2004
07,Balears (Illes),901,Ariany,771,400,371,2004
07,Balears (Illes),006,Artà,6524,3284,3240,2004
07,Balears (Illes),007,Banyalbufar,570,314,256,2004
07,Balears (Illes),008,Binissalem,6051,3029,3022,2004
07,Balears (Illes),009,Búger,993,509,484,2004
07,Balears (Illes),010,Bunyola,5291,2650,2641,2004
07,Balears (Illes),011,Calvià,42614,21557,21057,2004
07,Balears (Illes),012,Campanet,2420,1189,1231,2004
07,Balears (Illes),013,Campos,7898,3989,3909,2004
